"date (UTC)","O3 (ppb)","Flag"
2026-08-28 17:00:00,33.44,0
2026-08-28 17:01:00,33.16,0
2026-08-28 17:02:00,31.82,0
2026-08-28 17:03:00,32.62,0
2026-08-28 17:04:00,32.17,0
2026-08-28 17:05:00,32.4,0
2026-08-28 17:06:00,32,0
2026-08-28 17:07:00,33.51,0
2026-08-28 17:08:00,32.95,0
2026-08-28 17:09:00,33.46,0
2026-08-28 17:10:00,33.09,0
2026-08-28 17:11:00,33.46,0
2026-08-28 17:12:00,33.21,0
2026-08-28 17:13:00,32.48,0
2026-08-28 17:14:00,30.15,0
2026-08-28 17:15:00,31.4,0
2026-08-28 17:16:00,30.83,0
2026-08-28 17:17:00,30.19,0
2026-08-28 17:18:00,32.07,0
2026-08-28 17:19:00,32.19,0
2026-08-28 17:20:00,30.18,0
2026-08-28 17:21:00,30.88,0
2026-08-28 17:22:00,29.21,0
2026-08-28 17:23:00,28.74,0
2026-08-28 17:24:00,31.01,0
2026-08-28 17:25:00,30.93,0
2026-08-28 17:26:00,31.59,0
2026-08-28 17:27:00,31.46,0
2026-08-28 17:28:00,32.69,0
2026-08-28 17:29:00,32.89,0
2026-08-28 17:30:00,32.1,0
2026-08-28 17:31:00,33.7,0
2026-08-28 17:32:00,33.18,0
2026-08-28 17:33:00,32.87,0
2026-08-28 17:34:00,32.36,0
2026-08-28 17:35:00,31.93,0
2026-08-28 17:36:00,31.73,0
2026-08-28 17:37:00,32.76,0
2026-08-28 17:38:00,32.04,0
2026-08-28 17:39:00,32.49,0
2026-08-28 17:40:00,33.21,0
2026-08-28 17:41:00,33.1,0
2026-08-28 17:42:00,32.71,0
2026-08-28 17:43:00,33.47,0
2026-08-28 17:44:00,31.1,0
2026-08-28 17:45:00,32.16,0
2026-08-28 17:46:00,31.63,0
2026-08-28 17:47:00,29.97,0
2026-08-28 17:48:00,27.7,0
2026-08-28 17:49:00,30.83,0
2026-08-28 17:50:00,29.42,0
2026-08-28 17:51:00,30.08,0
2026-08-28 17:52:00,28.71,0
2026-08-28 17:53:00,29.94,0
2026-08-28 17:54:00,29.34,0
2026-08-28 17:55:00,28.37,0
2026-08-28 17:56:00,28.91,0
2026-08-28 17:57:00,31.07,0
2026-08-28 17:58:00,28.64,0
2026-08-28 17:59:00,30.39,0
