"date (UTC)","O3 (ppb)","Flag"
2026-08-02 02:00:00,19.14,0
2026-08-02 02:01:00,18.52,0
2026-08-02 02:02:00,19.43,0
2026-08-02 02:03:00,19.31,0
2026-08-02 02:04:00,19.51,0
2026-08-02 02:05:00,19.01,0
2026-08-02 02:06:00,19.26,0
2026-08-02 02:07:00,18.09,0
2026-08-02 02:08:00,17.88,0
2026-08-02 02:09:00,18.48,0
2026-08-02 02:10:00,18.53,0
2026-08-02 02:11:00,19.4,0
2026-08-02 02:12:00,18.66,0
2026-08-02 02:13:00,18.99,0
2026-08-02 02:14:00,18.8,0
2026-08-02 02:15:00,18.35,0
2026-08-02 02:16:00,16.3,0
2026-08-02 02:17:00,16.66,0
2026-08-02 02:18:00,18.1,0
2026-08-02 02:19:00,18.55,0
2026-08-02 02:20:00,19.13,0
2026-08-02 02:21:00,18.42,0
2026-08-02 02:22:00,17.19,0
2026-08-02 02:23:00,16.9,0
2026-08-02 02:24:00,18.45,0
2026-08-02 02:25:00,17.68,0
2026-08-02 02:26:00,18.02,0
2026-08-02 02:27:00,19.24,0
2026-08-02 02:28:00,19.76,0
2026-08-02 02:29:00,20,0
2026-08-02 02:30:00,19.09,0
2026-08-02 02:31:00,17.5,0
2026-08-02 02:32:00,17.6,0
2026-08-02 02:33:00,18.41,0
2026-08-02 02:34:00,17.43,0
2026-08-02 02:35:00,17.46,0
2026-08-02 02:36:00,18.55,0
2026-08-02 02:37:00,19.33,0
2026-08-02 02:38:00,19.6,0
2026-08-02 02:39:00,18.75,0
2026-08-02 02:40:00,17.75,0
2026-08-02 02:41:00,18.5,0
2026-08-02 02:42:00,18.5,0
2026-08-02 02:43:00,16.88,0
2026-08-02 02:44:00,17.59,0
2026-08-02 02:45:00,17.88,0
2026-08-02 02:46:00,16.76,0
2026-08-02 02:47:00,17.18,0
2026-08-02 02:48:00,17.9,0
2026-08-02 02:49:00,17.59,0
2026-08-02 02:50:00,17.5,0
2026-08-02 02:51:00,17.25,0
2026-08-02 02:52:00,16.28,0
2026-08-02 02:53:00,15.67,0
2026-08-02 02:54:00,16.99,0
2026-08-02 02:55:00,17.08,0
2026-08-02 02:56:00,15.95,0
2026-08-02 02:57:00,17.26,0
2026-08-02 02:58:00,16.57,0
2026-08-02 02:59:00,16.05,0
