"date (UTC)","O3 (ppb)","Flag"
2026-08-13 16:00:00,73.29,0
2026-08-13 16:01:00,73.09,0
2026-08-13 16:02:00,73.29,0
2026-08-13 16:03:00,73.41,0
2026-08-13 16:04:00,72.71,0
2026-08-13 16:05:00,72.68,0
2026-08-13 16:06:00,71.67,0
2026-08-13 16:07:00,69.99,0
2026-08-13 16:08:00,70.32,0
2026-08-13 16:09:00,70.61,0
2026-08-13 16:10:00,71.54,0
2026-08-13 16:11:00,73.5,0
2026-08-13 16:12:00,74.34,0
2026-08-13 16:13:00,74.57,0
2026-08-13 16:14:00,73.93,0
2026-08-13 16:15:00,74.17,0
2026-08-13 16:16:00,75.45,0
2026-08-13 16:17:00,75.84,0
2026-08-13 16:18:00,75.99,0
2026-08-13 16:19:00,75.29,0
2026-08-13 16:20:00,75.16,0
2026-08-13 16:21:00,75.45,0
2026-08-13 16:22:00,75.04,0
2026-08-13 16:23:00,74.6,0
2026-08-13 16:24:00,74.04,0
2026-08-13 16:25:00,73.8,0
2026-08-13 16:26:00,72.45,0
2026-08-13 16:27:00,70.99,0
2026-08-13 16:28:00,68.69,0
2026-08-13 16:29:00,68.39,0
2026-08-13 16:30:00,68.21,0
2026-08-13 16:31:00,67.67,0
2026-08-13 16:32:00,68.98,0
2026-08-13 16:33:00,68.37,0
2026-08-13 16:34:00,68.65,0
2026-08-13 16:35:00,67.24,0
2026-08-13 16:36:00,67.67,0
2026-08-13 16:37:00,67.73,0
2026-08-13 16:38:00,68.23,0
2026-08-13 16:39:00,66.58,0
2026-08-13 16:40:00,67.71,0
2026-08-13 16:41:00,67.89,0
2026-08-13 16:42:00,68.27,0
2026-08-13 16:43:00,67.4,0
2026-08-13 16:44:00,68.67,0
2026-08-13 16:45:00,70.53,0
2026-08-13 16:46:00,69.88,0
2026-08-13 16:47:00,68.05,0
2026-08-13 16:48:00,67.92,0
2026-08-13 16:49:00,68,0
2026-08-13 16:50:00,65.88,0
2026-08-13 16:51:00,69.1,0
2026-08-13 16:52:00,69.28,0
2026-08-13 16:53:00,69.08,0
2026-08-13 16:54:00,68.56,0
2026-08-13 16:55:00,70.6,0
2026-08-13 16:56:00,70.53,0
2026-08-13 16:57:00,70.3,0
2026-08-13 16:58:00,69.74,0
2026-08-13 16:59:00,68.88,0
