"date (UTC)","O3 (ppb)","Flag"
2026-08-02 08:00:00,28.35,0
2026-08-02 08:01:00,28.15,0
2026-08-02 08:02:00,28.05,0
2026-08-02 08:03:00,27.71,0
2026-08-02 08:04:00,27.69,0
2026-08-02 08:05:00,28.29,0
2026-08-02 08:06:00,28.36,0
2026-08-02 08:07:00,27.78,0
2026-08-02 08:08:00,28.15,0
2026-08-02 08:09:00,28.5,0
2026-08-02 08:10:00,28.45,0
2026-08-02 08:11:00,28.35,0
2026-08-02 08:12:00,28.26,0
2026-08-02 08:13:00,28.23,0
2026-08-02 08:14:00,28.33,0
2026-08-02 08:15:00,28.22,0
2026-08-02 08:16:00,28.76,0
2026-08-02 08:17:00,28.39,0
2026-08-02 08:18:00,28.2,0
2026-08-02 08:19:00,28.74,0
2026-08-02 08:20:00,28.42,0
2026-08-02 08:21:00,28.71,0
2026-08-02 08:22:00,29.02,0
2026-08-02 08:23:00,29.08,0
2026-08-02 08:24:00,28.41,0
2026-08-02 08:25:00,28.07,0
2026-08-02 08:26:00,27.73,0
2026-08-02 08:27:00,28.35,0
2026-08-02 08:28:00,28.33,0
2026-08-02 08:29:00,28.49,0
2026-08-02 08:30:00,28.84,0
2026-08-02 08:31:00,29.2,0
2026-08-02 08:32:00,29.5,0
2026-08-02 08:33:00,29.53,0
2026-08-02 08:34:00,29.11,0
2026-08-02 08:35:00,29.53,0
2026-08-02 08:36:00,29.22,0
2026-08-02 08:37:00,28.94,0
2026-08-02 08:38:00,29.07,0
2026-08-02 08:39:00,29.24,0
2026-08-02 08:40:00,29.27,0
2026-08-02 08:41:00,28.81,0
2026-08-02 08:42:00,28.94,0
2026-08-02 08:43:00,28.46,0
2026-08-02 08:44:00,28.79,0
2026-08-02 08:45:00,29.03,0
2026-08-02 08:46:00,30.15,0
2026-08-02 08:47:00,30.5,0
2026-08-02 08:48:00,29.45,0
2026-08-02 08:49:00,29.06,0
2026-08-02 08:50:00,29.49,0
2026-08-02 08:51:00,29.49,0
2026-08-02 08:52:00,28.8,0
2026-08-02 08:53:00,26.26,0
2026-08-02 08:54:00,25.83,0
2026-08-02 08:55:00,26.71,0
2026-08-02 08:56:00,27.56,0
2026-08-02 08:57:00,26.78,0
2026-08-02 08:58:00,25.84,0
2026-08-02 08:59:00,26.88,0
