"date (UTC)","SO2 (ppb)","Flag"
2026-08-31 02:00:00,1.396,0
2026-08-31 02:01:00,1.371,0
2026-08-31 02:02:00,1.412,0
2026-08-31 02:03:00,1.416,0
2026-08-31 02:04:00,1.416,0
2026-08-31 02:05:00,1.445,0
2026-08-31 02:06:00,1.419,0
2026-08-31 02:07:00,1.389,0
2026-08-31 02:08:00,1.428,0
2026-08-31 02:09:00,1.451,0
2026-08-31 02:10:00,1.454,0
2026-08-31 02:11:00,1.45,1
2026-08-31 02:12:00,1.411,0
2026-08-31 02:13:00,1.382,0
2026-08-31 02:14:00,1.351,0
2026-08-31 02:15:00,1.344,0
2026-08-31 02:16:00,1.336,0
2026-08-31 02:17:00,1.331,0
2026-08-31 02:18:00,1.338,0
2026-08-31 02:19:00,1.401,0
2026-08-31 02:20:00,1.418,0
2026-08-31 02:21:00,1.391,0
2026-08-31 02:22:00,1.381,0
2026-08-31 02:23:00,1.375,0
2026-08-31 02:24:00,1.344,0
2026-08-31 02:25:00,1.329,0
2026-08-31 02:26:00,1.339,0
2026-08-31 02:27:00,1.351,0
2026-08-31 02:28:00,1.4,0
2026-08-31 02:29:00,1.446,0
2026-08-31 02:30:00,1.464,0
2026-08-31 02:31:00,1.418,0
2026-08-31 02:32:00,1.391,0
2026-08-31 02:33:00,1.38,0
2026-08-31 02:34:00,1.33,0
2026-08-31 02:35:00,1.22,0
2026-08-31 02:36:00,1.196,0
2026-08-31 02:37:00,1.247,0
2026-08-31 02:38:00,1.237,0
2026-08-31 02:39:00,1.218,0
2026-08-31 02:40:00,1.217,0
2026-08-31 02:41:00,1.204,0
2026-08-31 02:42:00,1.149,0
2026-08-31 02:43:00,1.131,1
2026-08-31 02:44:00,1.085,0
2026-08-31 02:45:00,1.069,0
2026-08-31 02:46:00,1.041,0
2026-08-31 02:47:00,1.014,0
2026-08-31 02:48:00,1.002,0
2026-08-31 02:49:00,0.997,0
2026-08-31 02:50:00,1.027,0
2026-08-31 02:51:00,1.089,1
2026-08-31 02:52:00,1.105,1
2026-08-31 02:53:00,1.083,1
2026-08-31 02:54:00,1.118,0
2026-08-31 02:55:00,1.148,1
2026-08-31 02:56:00,1.174,0
2026-08-31 02:57:00,1.198,0
2026-08-31 02:58:00,1.256,0
2026-08-31 02:59:00,1.278,0
