"date (UTC)","SO2 (ppb)","Flag"
2026-08-27 16:00:00,1.202,0
2026-08-27 16:01:00,1.257,1
2026-08-27 16:02:00,1.226,0
2026-08-27 16:03:00,1.199,0
2026-08-27 16:04:00,1.218,0
2026-08-27 16:05:00,1.221,0
2026-08-27 16:06:00,1.233,1
2026-08-27 16:07:00,1.245,0
2026-08-27 16:08:00,1.282,0
2026-08-27 16:09:00,1.306,0
2026-08-27 16:10:00,1.332,0
2026-08-27 16:11:00,1.383,0
2026-08-27 16:12:00,1.4,0
2026-08-27 16:13:00,1.396,0
2026-08-27 16:14:00,1.352,0
2026-08-27 16:15:00,1.308,1
2026-08-27 16:16:00,1.245,0
2026-08-27 16:17:00,1.23,0
2026-08-27 16:18:00,1.29,0
2026-08-27 16:19:00,1.346,0
2026-08-27 16:20:00,1.353,0
2026-08-27 16:21:00,1.386,0
2026-08-27 16:22:00,1.387,0
2026-08-27 16:23:00,1.389,0
2026-08-27 16:24:00,1.373,0
2026-08-27 16:25:00,1.358,0
2026-08-27 16:26:00,1.347,0
2026-08-27 16:27:00,1.313,0
2026-08-27 16:28:00,1.297,0
2026-08-27 16:29:00,1.291,1
2026-08-27 16:30:00,1.337,0
2026-08-27 16:31:00,1.353,0
2026-08-27 16:32:00,1.392,0
2026-08-27 16:33:00,1.383,0
2026-08-27 16:34:00,1.363,0
2026-08-27 16:35:00,1.34,0
2026-08-27 16:36:00,1.369,0
2026-08-27 16:37:00,1.341,0
2026-08-27 16:38:00,1.369,0
2026-08-27 16:39:00,1.366,0
2026-08-27 16:40:00,1.383,0
2026-08-27 16:41:00,1.377,0
2026-08-27 16:42:00,1.353,0
2026-08-27 16:43:00,1.337,0
2026-08-27 16:44:00,1.326,0
2026-08-27 16:45:00,1.324,0
2026-08-27 16:46:00,1.33,0
2026-08-27 16:47:00,1.313,1
2026-08-27 16:48:00,1.28,0
2026-08-27 16:49:00,1.256,0
2026-08-27 16:50:00,1.271,0
2026-08-27 16:51:00,1.276,0
2026-08-27 16:52:00,1.273,0
2026-08-27 16:53:00,1.274,0
2026-08-27 16:54:00,1.229,0
2026-08-27 16:55:00,1.232,0
2026-08-27 16:56:00,1.212,0
2026-08-27 16:57:00,1.244,0
2026-08-27 16:58:00,1.285,1
2026-08-27 16:59:00,1.295,0
