"date (UTC)","SO2 (ppb)","Flag"
2026-08-08 18:00:00,0.905,0
2026-08-08 18:01:00,0.887,0
2026-08-08 18:02:00,0.892,0
2026-08-08 18:03:00,0.935,0
2026-08-08 18:04:00,0.919,0
2026-08-08 18:05:00,0.903,0
2026-08-08 18:06:00,0.944,0
2026-08-08 18:07:00,0.961,1
2026-08-08 18:08:00,0.952,0
2026-08-08 18:09:00,0.991,0
2026-08-08 18:10:00,1.035,0
2026-08-08 18:11:00,1.063,0
2026-08-08 18:12:00,1.099,0
2026-08-08 18:13:00,1.097,0
2026-08-08 18:14:00,1.143,0
2026-08-08 18:15:00,1.164,0
2026-08-08 18:16:00,1.227,0
2026-08-08 18:17:00,1.258,0
2026-08-08 18:18:00,1.26,0
2026-08-08 18:19:00,1.251,0
2026-08-08 18:20:00,1.263,0
2026-08-08 18:21:00,1.291,0
2026-08-08 18:22:00,1.288,1
2026-08-08 18:23:00,1.306,0
2026-08-08 18:24:00,1.334,0
2026-08-08 18:25:00,1.345,0
2026-08-08 18:26:00,1.349,0
2026-08-08 18:27:00,1.305,0
2026-08-08 18:28:00,1.185,0
2026-08-08 18:29:00,1.132,0
2026-08-08 18:30:00,1.047,0
2026-08-08 18:31:00,0.958,0
2026-08-08 18:32:00,0.856,0
2026-08-08 18:33:00,0.774,0
2026-08-08 18:34:00,0.723,0
2026-08-08 18:35:00,0.655,0
2026-08-08 18:36:00,0.588,0
2026-08-08 18:37:00,0.489,0
2026-08-08 18:38:00,0.415,0
2026-08-08 18:39:00,0.417,0
2026-08-08 18:40:00,0.406,0
2026-08-08 18:41:00,0.409,0
2026-08-08 18:42:00,0.403,1
2026-08-08 18:43:00,0.422,0
2026-08-08 18:44:00,0.521,0
2026-08-08 18:45:00,0.596,0
2026-08-08 18:46:00,0.662,0
2026-08-08 18:47:00,0.7,0
2026-08-08 18:48:00,0.706,0
2026-08-08 18:49:00,0.739,0
2026-08-08 18:50:00,0.78,0
2026-08-08 18:51:00,0.848,0
2026-08-08 18:52:00,0.89,0
2026-08-08 18:53:00,0.967,0
2026-08-08 18:54:00,1.044,0
2026-08-08 18:55:00,1.016,0
2026-08-08 18:56:00,1.005,0
2026-08-08 18:57:00,0.991,0
2026-08-08 18:58:00,1.014,0
2026-08-08 18:59:00,1.045,0
