"date (UTC)","SO2 (ppb)","Flag"
2026-07-30,0.69,0
2026-07-30 00:01:00,0.662,0
2026-07-30 00:02:00,0.639,0
2026-07-30 00:03:00,0.616,0
2026-07-30 00:04:00,0.584,0
2026-07-30 00:05:00,0.506,0
2026-07-30 00:06:00,0.524,0
2026-07-30 00:07:00,0.508,0
2026-07-30 00:08:00,0.515,0
2026-07-30 00:09:00,0.569,0
2026-07-30 00:10:00,0.635,0
2026-07-30 00:11:00,0.683,0
2026-07-30 00:12:00,0.722,1
2026-07-30 00:13:00,0.761,1
2026-07-30 00:14:00,0.719,0
2026-07-30 00:15:00,0.721,0
2026-07-30 00:16:00,0.741,0
2026-07-30 00:17:00,0.783,0
2026-07-30 00:18:00,0.848,0
2026-07-30 00:19:00,0.861,0
2026-07-30 00:20:00,0.898,0
2026-07-30 00:21:00,0.943,0
2026-07-30 00:22:00,0.901,0
2026-07-30 00:23:00,0.912,0
2026-07-30 00:24:00,0.931,0
2026-07-30 00:25:00,0.906,0
2026-07-30 00:26:00,0.843,0
2026-07-30 00:27:00,0.818,0
2026-07-30 00:28:00,0.794,1
2026-07-30 00:29:00,0.743,0
2026-07-30 00:30:00,0.742,0
2026-07-30 00:31:00,0.754,0
2026-07-30 00:32:00,0.765,0
2026-07-30 00:33:00,0.745,0
2026-07-30 00:34:00,0.723,0
2026-07-30 00:35:00,0.737,0
2026-07-30 00:36:00,0.713,0
2026-07-30 00:37:00,0.716,0
2026-07-30 00:38:00,0.774,0
2026-07-30 00:39:00,0.819,0
2026-07-30 00:40:00,0.814,0
2026-07-30 00:41:00,0.789,0
2026-07-30 00:42:00,0.804,0
2026-07-30 00:43:00,0.828,0
2026-07-30 00:44:00,0.842,0
2026-07-30 00:45:00,0.894,1
2026-07-30 00:46:00,0.941,0
2026-07-30 00:47:00,0.915,0
2026-07-30 00:48:00,0.887,0
2026-07-30 00:49:00,0.834,1
2026-07-30 00:50:00,0.792,0
2026-07-30 00:51:00,0.717,0
2026-07-30 00:52:00,0.658,0
2026-07-30 00:53:00,0.622,0
2026-07-30 00:54:00,0.553,0
2026-07-30 00:55:00,0.472,1
2026-07-30 00:56:00,0.463,0
2026-07-30 00:57:00,0.486,0
2026-07-30 00:58:00,0.474,0
2026-07-30 00:59:00,0.436,1
