"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-08-28 05:00:00,0.138,2.566,2
2026-08-28 05:01:00,0.147,2.626,0
2026-08-28 05:02:00,0.146,2.723,0
2026-08-28 05:03:00,0.159,2.92,2
2026-08-28 05:04:00,0.17,3.069,2
2026-08-28 05:05:00,0.171,3.238,0
2026-08-28 05:06:00,0.185,3.379,2
2026-08-28 05:07:00,0.178,3.529,2
2026-08-28 05:08:00,0.154,3.633,0
2026-08-28 05:09:00,0.161,3.753,0
2026-08-28 05:10:00,0.169,3.936,2
2026-08-28 05:11:00,0.167,4.115,0
2026-08-28 05:12:00,0.166,4.221,0
2026-08-28 05:13:00,0.168,4.341,2
2026-08-28 05:14:00,0.172,4.46,2
2026-08-28 05:15:00,0.177,4.515,2
2026-08-28 05:16:00,0.18,4.479,0
2026-08-28 05:17:00,0.183,4.483,2
2026-08-28 05:18:00,0.184,4.455,0
2026-08-28 05:19:00,0.19,4.477,0
2026-08-28 05:20:00,0.172,4.391,2
2026-08-28 05:21:00,0.162,4.288,0
2026-08-28 05:22:00,0.167,4.2,0
2026-08-28 05:23:00,0.17,4.156,0
2026-08-28 05:24:00,0.171,4.085,2
2026-08-28 05:25:00,0.173,3.991,0
2026-08-28 05:26:00,0.164,3.869,2
2026-08-28 05:27:00,0.158,3.761,2
2026-08-28 05:28:00,0.168,3.645,0
2026-08-28 05:29:00,0.179,3.559,0
2026-08-28 05:30:00,0.196,3.435,0
2026-08-28 05:31:00,0.193,3.367,2
2026-08-28 05:32:00,0.204,3.327,0
2026-08-28 05:33:00,0.238,3.433,0
2026-08-28 05:34:00,0.264,3.488,2
2026-08-28 05:35:00,0.29,3.518,0
2026-08-28 05:36:00,0.282,3.55,0
2026-08-28 05:37:00,0.309,3.568,2
2026-08-28 05:38:00,0.325,3.621,2
2026-08-28 05:39:00,0.31,3.655,0
2026-08-28 05:40:00,0.304,3.683,0
2026-08-28 05:41:00,0.287,3.627,2
2026-08-28 05:42:00,0.252,3.507,2
2026-08-28 05:43:00,0.237,3.452,0
2026-08-28 05:44:00,0.235,3.441,2
2026-08-28 05:45:00,0.226,3.433,2
2026-08-28 05:46:00,0.357,3.549,0
2026-08-28 05:47:00,0.73,4.064,0
2026-08-28 05:48:00,1.529,5.141,2
2026-08-28 05:49:00,2.029,5.885,0
2026-08-28 05:50:00,2.311,6.501,0
2026-08-28 05:51:00,2.365,6.766,2
2026-08-28 05:52:00,2.478,7.144,2
2026-08-28 05:53:00,2.542,7.485,2
2026-08-28 05:54:00,2.56,7.738,2
2026-08-28 05:55:00,2.43,7.815,2
2026-08-28 05:56:00,1.794,7.064,0
2026-08-28 05:57:00,1.336,6.442,0
2026-08-28 05:58:00,0.731,5.638,2
2026-08-28 05:59:00,0.662,5.571,0
