"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-08-25 15:00:00,0.189,1.334,0
2026-08-25 15:01:00,0.164,1.252,0
2026-08-25 15:02:00,0.147,1.238,2
2026-08-25 15:03:00,0.133,1.241,2
2026-08-25 15:04:00,0.117,1.268,2
2026-08-25 15:05:00,0.108,1.317,2
2026-08-25 15:06:00,0.13,1.385,2
2026-08-25 15:07:00,0.15,1.425,0
2026-08-25 15:08:00,0.15,1.426,0
2026-08-25 15:09:00,0.16,1.431,2
2026-08-25 15:10:00,0.169,1.441,0
2026-08-25 15:11:00,0.157,1.444,0
2026-08-25 15:12:00,0.174,1.444,0
2026-08-25 15:13:00,0.168,1.439,2
2026-08-25 15:14:00,0.161,1.363,0
2026-08-25 15:15:00,0.16,1.286,2
2026-08-25 15:16:00,0.157,1.248,2
2026-08-25 15:17:00,0.135,1.243,0
2026-08-25 15:18:00,0.117,1.237,0
2026-08-25 15:19:00,0.102,1.247,0
2026-08-25 15:20:00,0.104,1.273,2
2026-08-25 15:21:00,0.089,1.237,0
2026-08-25 15:22:00,0.082,1.23,0
2026-08-25 15:23:00,0.067,1.197,2
2026-08-25 15:24:00,0.061,1.219,0
2026-08-25 15:25:00,0.071,1.259,0
2026-08-25 15:26:00,0.081,1.325,2
2026-08-25 15:27:00,0.103,1.375,0
2026-08-25 15:28:00,0.116,1.412,0
2026-08-25 15:29:00,0.133,1.439,0
2026-08-25 15:30:00,0.135,1.479,2
2026-08-25 15:31:00,0.157,1.514,2
2026-08-25 15:32:00,0.177,1.607,0
2026-08-25 15:33:00,0.189,1.71,2
2026-08-25 15:34:00,0.191,1.729,2
2026-08-25 15:35:00,0.188,1.693,0
2026-08-25 15:36:00,0.175,1.615,0
2026-08-25 15:37:00,0.174,1.583,2
2026-08-25 15:38:00,0.15,1.515,0
2026-08-25 15:39:00,0.136,1.488,0
2026-08-25 15:40:00,0.122,1.515,2
2026-08-25 15:41:00,0.119,1.521,2
2026-08-25 15:42:00,0.12,1.499,2
2026-08-25 15:43:00,0.125,1.589,2
2026-08-25 15:44:00,0.153,1.664,2
2026-08-25 15:45:00,0.185,1.741,0
2026-08-25 15:46:00,0.209,1.789,0
2026-08-25 15:47:00,0.222,1.837,2
2026-08-25 15:48:00,0.251,1.918,0
2026-08-25 15:49:00,0.257,1.928,0
2026-08-25 15:50:00,0.242,1.933,2
2026-08-25 15:51:00,0.235,1.856,2
2026-08-25 15:52:00,0.222,1.815,0
2026-08-25 15:53:00,0.2,1.78,2
2026-08-25 15:54:00,0.189,1.791,2
2026-08-25 15:55:00,0.184,1.811,0
2026-08-25 15:56:00,0.183,1.787,0
2026-08-25 15:57:00,0.198,1.794,2
2026-08-25 15:58:00,0.203,1.752,2
2026-08-25 15:59:00,0.217,1.733,0
