"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-08-22 03:00:00,0.401,5.661,0
2026-08-22 03:01:00,0.454,5.698,2
2026-08-22 03:02:00,0.451,5.744,0
2026-08-22 03:03:00,0.45,5.783,2
2026-08-22 03:04:00,0.444,5.844,2
2026-08-22 03:05:00,0.475,5.894,0
2026-08-22 03:06:00,0.437,5.899,0
2026-08-22 03:07:00,0.46,5.895,2
2026-08-22 03:08:00,0.495,5.937,0
2026-08-22 03:09:00,0.477,6.021,0
2026-08-22 03:10:00,0.465,6.01,0
2026-08-22 03:11:00,0.424,6.026,2
2026-08-22 03:12:00,0.402,6.022,2
2026-08-22 03:13:00,0.359,5.993,0
2026-08-22 03:14:00,0.351,5.93,2
2026-08-22 03:15:00,0.331,5.903,0
2026-08-22 03:16:00,0.298,5.858,0
2026-08-22 03:17:00,0.271,5.741,0
2026-08-22 03:18:00,0.257,5.62,0
2026-08-22 03:19:00,0.221,5.522,0
2026-08-22 03:20:00,0.238,5.469,0
2026-08-22 03:21:00,0.252,5.367,2
2026-08-22 03:22:00,0.234,5.266,0
2026-08-22 03:23:00,0.242,5.207,2
2026-08-22 03:24:00,0.255,5.168,2
2026-08-22 03:25:00,0.298,5.105,0
2026-08-22 03:26:00,0.307,5.089,0
2026-08-22 03:27:00,0.282,5.052,0
2026-08-22 03:28:00,0.306,4.988,2
2026-08-22 03:29:00,0.281,4.94,0
2026-08-22 03:30:00,0.283,4.919,0
2026-08-22 03:31:00,0.279,4.85,2
2026-08-22 03:32:00,0.271,4.813,2
2026-08-22 03:33:00,0.277,4.76,0
2026-08-22 03:34:00,0.271,4.691,2
2026-08-22 03:35:00,0.311,4.604,2
2026-08-22 03:36:00,0.36,4.506,0
2026-08-22 03:37:00,0.354,4.464,0
2026-08-22 03:38:00,0.366,4.402,2
2026-08-22 03:39:00,0.374,4.383,2
2026-08-22 03:40:00,0.378,4.354,0
2026-08-22 03:41:00,0.377,4.333,2
2026-08-22 03:42:00,0.378,4.318,2
2026-08-22 03:43:00,0.336,4.329,0
2026-08-22 03:44:00,0.297,4.351,0
2026-08-22 03:45:00,0.326,4.445,2
2026-08-22 03:46:00,0.323,4.545,0
2026-08-22 03:47:00,0.364,4.613,0
2026-08-22 03:48:00,0.365,4.745,2
2026-08-22 03:49:00,0.401,4.895,2
2026-08-22 03:50:00,0.409,5.003,2
2026-08-22 03:51:00,0.447,5.202,0
2026-08-22 03:52:00,0.485,5.269,2
2026-08-22 03:53:00,0.49,5.388,0
2026-08-22 03:54:00,0.468,5.374,0
2026-08-22 03:55:00,0.454,5.315,2
2026-08-22 03:56:00,0.434,5.208,0
2026-08-22 03:57:00,0.425,5.097,0
2026-08-22 03:58:00,0.4,4.944,0
2026-08-22 03:59:00,0.358,4.751,2
