"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-08-20 20:00:00,0.419,3.185,0
2026-08-20 20:01:00,0.437,3.143,2
2026-08-20 20:02:00,0.442,3.055,0
2026-08-20 20:03:00,0.436,2.995,0
2026-08-20 20:04:00,0.428,2.905,0
2026-08-20 20:05:00,0.395,2.773,2
2026-08-20 20:06:00,0.375,2.701,0
2026-08-20 20:07:00,0.348,2.579,2
2026-08-20 20:08:00,0.302,2.387,2
2026-08-20 20:09:00,0.294,2.305,0
2026-08-20 20:10:00,0.312,2.284,0
2026-08-20 20:11:00,0.299,2.24,0
2026-08-20 20:12:00,0.314,2.211,2
2026-08-20 20:13:00,0.326,2.174,0
2026-08-20 20:14:00,0.345,2.167,0
2026-08-20 20:15:00,0.336,2.169,2
2026-08-20 20:16:00,0.379,2.207,0
2026-08-20 20:17:00,0.426,2.315,0
2026-08-20 20:18:00,0.427,2.384,2
2026-08-20 20:19:00,0.459,2.789,0
2026-08-20 20:20:00,0.514,3.36,0
2026-08-20 20:21:00,0.53,3.898,0
2026-08-20 20:22:00,0.567,4.433,2
2026-08-20 20:23:00,0.642,4.844,2
2026-08-20 20:24:00,0.735,5.509,0
2026-08-20 20:25:00,0.76,6.041,2
2026-08-20 20:26:00,0.732,6.366,2
2026-08-20 20:27:00,0.817,6.92,0
2026-08-20 20:28:00,0.872,7.007,0
2026-08-20 20:29:00,0.979,7.358,2
2026-08-20 20:30:00,1.06,7.51,0
2026-08-20 20:31:00,1.345,8.365,0
2026-08-20 20:32:00,1.507,8.809,2
2026-08-20 20:33:00,1.721,9.267,2
2026-08-20 20:34:00,1.92,9.658,2
2026-08-20 20:35:00,1.95,9.544,2
2026-08-20 20:36:00,1.987,9.692,2
2026-08-20 20:37:00,1.822,9.071,0
2026-08-20 20:38:00,1.699,8.425,0
2026-08-20 20:39:00,1.512,7.775,2
2026-08-20 20:40:00,1.309,7.115,0
2026-08-20 20:41:00,0.945,6.032,0
2026-08-20 20:42:00,0.682,5.365,2
2026-08-20 20:43:00,0.621,5.131,2
2026-08-20 20:44:00,0.563,5.161,0
2026-08-20 20:45:00,0.522,5.064,2
2026-08-20 20:46:00,0.537,5.155,2
2026-08-20 20:47:00,0.516,5.138,0
2026-08-20 20:48:00,0.536,5.244,0
2026-08-20 20:49:00,0.59,5.495,2
2026-08-20 20:50:00,0.576,5.523,2
2026-08-20 20:51:00,0.612,5.649,0
2026-08-20 20:52:00,0.567,5.383,0
2026-08-20 20:53:00,0.552,5.262,2
2026-08-20 20:54:00,0.576,5.312,0
2026-08-20 20:55:00,0.586,5.369,0
2026-08-20 20:56:00,0.604,5.456,2
2026-08-20 20:57:00,0.586,5.252,0
2026-08-20 20:58:00,0.609,5.213,0
2026-08-20 20:59:00,0.617,5.179,0
