"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-08-20 05:00:00,0.137,0.822,0
2026-08-20 05:01:00,0.136,0.801,2
2026-08-20 05:02:00,0.128,0.808,0
2026-08-20 05:03:00,0.122,0.829,0
2026-08-20 05:04:00,0.126,0.817,2
2026-08-20 05:05:00,0.124,0.817,0
2026-08-20 05:06:00,0.13,0.863,0
2026-08-20 05:07:00,0.113,0.952,2
2026-08-20 05:08:00,0.112,1.009,2
2026-08-20 05:09:00,0.119,1.081,0
2026-08-20 05:10:00,0.144,1.152,0
2026-08-20 05:11:00,0.174,1.182,2
2026-08-20 05:12:00,0.191,1.239,2
2026-08-20 05:13:00,0.205,1.288,0
2026-08-20 05:14:00,0.229,1.352,2
2026-08-20 05:15:00,0.27,1.447,2
2026-08-20 05:16:00,0.306,1.518,0
2026-08-20 05:17:00,0.328,1.581,0
2026-08-20 05:18:00,0.344,1.636,2
2026-08-20 05:19:00,0.329,1.703,0
2026-08-20 05:20:00,0.331,1.742,0
2026-08-20 05:21:00,0.339,1.767,2
2026-08-20 05:22:00,0.347,1.799,2
2026-08-20 05:23:00,0.341,1.782,2
2026-08-20 05:24:00,0.309,1.674,2
2026-08-20 05:25:00,0.307,1.619,2
2026-08-20 05:26:00,0.287,1.54,0
2026-08-20 05:27:00,0.296,1.479,0
2026-08-20 05:28:00,0.306,1.454,2
2026-08-20 05:29:00,0.316,1.473,0
2026-08-20 05:30:00,0.321,1.466,0
2026-08-20 05:31:00,0.317,1.466,2
2026-08-20 05:32:00,0.331,1.495,0
2026-08-20 05:33:00,0.328,1.527,0
2026-08-20 05:34:00,0.328,1.545,2
2026-08-20 05:35:00,0.332,1.557,2
2026-08-20 05:36:00,0.323,1.537,0
2026-08-20 05:37:00,0.314,1.511,0
2026-08-20 05:38:00,0.316,1.483,2
2026-08-20 05:39:00,0.302,1.473,2
2026-08-20 05:40:00,0.302,1.467,0
2026-08-20 05:41:00,0.322,1.493,2
2026-08-20 05:42:00,0.333,1.531,2
2026-08-20 05:43:00,0.337,1.562,0
2026-08-20 05:44:00,0.372,1.671,0
2026-08-20 05:45:00,0.465,1.954,2
2026-08-20 05:46:00,0.512,2.167,0
2026-08-20 05:47:00,0.532,2.298,0
2026-08-20 05:48:00,0.555,2.443,2
2026-08-20 05:49:00,0.576,2.57,2
2026-08-20 05:50:00,0.569,2.681,2
2026-08-20 05:51:00,0.582,2.778,2
2026-08-20 05:52:00,0.592,2.932,2
2026-08-20 05:53:00,0.531,2.884,0
2026-08-20 05:54:00,0.468,2.762,0
2026-08-20 05:55:00,0.47,2.755,2
2026-08-20 05:56:00,0.466,2.785,0
2026-08-20 05:57:00,0.441,2.776,0
2026-08-20 05:58:00,0.456,2.788,0
2026-08-20 05:59:00,0.442,2.812,2
