"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-08-28 14:00:00,0.432,2.375,2
2026-08-28 14:01:00,0.398,2.412,2
2026-08-28 14:02:00,0.384,2.482,0
2026-08-28 14:03:00,0.369,2.587,2
2026-08-28 14:04:00,0.411,2.756,0
2026-08-28 14:05:00,0.472,3.031,0
2026-08-28 14:06:00,0.505,3.245,0
2026-08-28 14:07:00,0.508,3.326,0
2026-08-28 14:08:00,0.495,3.299,0
2026-08-28 14:09:00,0.472,3.267,0
2026-08-28 14:10:00,0.439,3.135,2
2026-08-28 14:11:00,0.368,2.775,0
2026-08-28 14:12:00,0.363,2.801,2
2026-08-28 14:13:00,0.347,2.914,2
2026-08-28 14:14:00,0.3,2.771,2
2026-08-28 14:15:00,0.283,2.727,0
2026-08-28 14:16:00,0.28,2.621,0
2026-08-28 14:17:00,0.306,2.696,2
2026-08-28 14:18:00,0.301,2.731,0
2026-08-28 14:19:00,0.272,2.568,0
2026-08-28 14:20:00,0.26,2.595,2
2026-08-28 14:21:00,0.275,2.531,2
2026-08-28 14:22:00,0.266,2.333,0
2026-08-28 14:23:00,0.273,2.302,2
2026-08-28 14:24:00,0.318,2.422,2
2026-08-28 14:25:00,0.348,2.603,0
2026-08-28 14:26:00,0.384,2.666,0
2026-08-28 14:27:00,0.435,2.805,2
2026-08-28 14:28:00,0.481,2.858,2
2026-08-28 14:29:00,0.492,2.836,0
2026-08-28 14:30:00,0.5,2.876,2
2026-08-28 14:31:00,0.519,2.824,2
2026-08-28 14:32:00,0.495,2.698,0
2026-08-28 14:33:00,0.467,2.502,0
2026-08-28 14:34:00,0.438,2.28,2
2026-08-28 14:35:00,0.382,2.013,0
2026-08-28 14:36:00,0.355,1.856,0
2026-08-28 14:37:00,0.332,1.676,0
2026-08-28 14:38:00,0.342,1.757,2
2026-08-28 14:39:00,0.358,1.829,2
2026-08-28 14:40:00,0.373,2.039,0
2026-08-28 14:41:00,0.376,2.207,2
2026-08-28 14:42:00,0.389,2.37,0
2026-08-28 14:43:00,0.392,2.434,0
2026-08-28 14:44:00,0.395,2.508,0
2026-08-28 14:45:00,0.399,2.63,0
2026-08-28 14:46:00,0.372,2.64,0
2026-08-28 14:47:00,0.377,2.804,0
2026-08-28 14:48:00,0.363,3,2
2026-08-28 14:49:00,0.357,3.112,0
2026-08-28 14:50:00,0.366,3.375,2
2026-08-28 14:51:00,0.365,3.495,2
2026-08-28 14:52:00,0.384,3.679,0
2026-08-28 14:53:00,0.432,3.989,0
2026-08-28 14:54:00,0.519,4.409,0
2026-08-28 14:55:00,0.662,4.974,2
2026-08-28 14:56:00,0.714,5.071,0
2026-08-28 14:57:00,0.767,5.192,0
2026-08-28 14:58:00,0.833,5.348,2
2026-08-28 14:59:00,0.855,5.346,2
