"date","Communication.Status","Detector.Inlet.Flow..L.min.","Detector.Counting.Flow..L.min.","Impactor.Flow..L.min.","Impactor.D50..nm.","Sheath.Flow..L.min.","Sheath.Temp..C.","Sheath.Pressure..kPa.","Sheath.Relative.Humidity....","Mean.Free.Path..m.","Gas.Viscosity..Pa.s.","Low.Voltage..V.","High.Voltage..V.","Lower.Size..nm.","Upper.Size..nm.","Wide.Range.Scan.Mode","DMA.V.Ramping.Up..TUP...s.","DMA.V.Ramping.Down..TDOWN...s.","DMA.Column.transit.time.Tf..s.","DMA.Exit.to.Optical.Detector.Td..s.","DMA.at.Low.Voltage..TLOW...s.","DMA.at.High.Voltage..THIGH...s.","Adjustment..s.","Dilution.Factor","Aerosol.Density..g.cm..","Median..nm.","Mean..nm.","Geo..Mean..nm.","Mode..nm.","Geo..Std..Dev","Total.Concentration....cm..","Aerosol.Humidity....","Aerosol.Temperature..C.","Reserved.1","X1.04","X1.11","X1.2","X1.29","X1.38","X1.49","X1.6","X1.72","X1.84","X1.98","X2.13","X2.29","X2.46","X2.64","X2.84","X3.05","X3.28","X3.52","X3.79","X4.07","X4.37","X4.7","X5.05","X5.42","X5.83","X6.26","X6.73","X7.23","X7.77","X8.35","X8.98","X9.65","X10.37","X11.14","X11.97","X12.86","X13.82","X14.86","X15.96","X17.15","X18.43","X19.81","X21.29","X22.88","X24.58","X26.42","X28.39","X30.51","X32.78","X35.23","X37.86","X40.68","X43.71","X46.98","X50.48","X54.25","X58.29","X62.64","X67.32","X72.34","X77.74","X83.54","X89.77","X96.47","X103.66","X111.4","X119.71","X128.64","X138.24","X148.55","X159.63","X171.54","X184.34","X198.1","X212.88","X228.76","X245.82","X264.16","X283.87","X305.05","X327.81","X352.27","X378.55","X406.79","X437.14","X469.76","X504.81","X542.47","X582.94","X626.43","X673.17","X723.39","X777.37","X835.36","X897.69","X964.66","Flag"
"2026-08-28",0,1,1,1,737.2,5,20.2333333333333,96.9916666666667,52.575,0.0000000694549083333333,0.0000181921,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,25.111,45.26375,30.0409166666667,17.14525,2.30933333333333,6330.49166666667,48.8333333333333,21.0333333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.055916666667,191.423416666667,201.769833333333,209.871166666667,208.812416666667,212.376333333333,219.16725,222.03225,221.11,219.500083333333,215.31475,215.39625,218.46925,227.88025,229.738583333333,235.163333333333,234.278,227.612583333333,216.574916666667,198.99025,176.298,155.6835,135.5915,118.261333333333,105.609916666667,97.045,91.1990833333333,85.8234166666667,81.9735833333333,78.0825833333333,75.3223333333333,71.983,68.1864166666667,65.23575,62.7650833333333,59.45775,56.9133333333333,54.4095833333333,51.6393333333333,48.297,44.3426666666667,40.4273333333333,36.4555,32.0329166666667,27.5911666666667,22.9444166666667,18.15975,14.5855833333333,10.37225,7.48225,5.11241666666667,3.42966666666667,1.95833333333333,1.29825,0.790166666666667,0.440083333333333,0.350666666666667,0.184916666666667,0.122166666666667,0.09675,0,0,0,0,0,1
"2026-08-28 01:00:00",0,1,1,1,737.183333333333,5,20.2,97,52.2083333333333,0.000000069438925,0.0000181905,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,21.1858333333333,39.5115,26.2703333333333,12.3559166666667,2.261,5135.34916666667,48,21.0416666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.412916666667,234.452666666667,229.367083333333,235.067,229.753083333333,230.02775,227.908583333333,218.364083333333,209.15725,200.595333333333,193.421666666667,181.467833333333,169.942,165.61025,161.289,155.257166666667,143.407,135.020833333333,125.657916666667,116.996666666667,105.869833333333,97.5531666666667,90.5335833333333,84.1405,79.5111666666667,74.8179166666667,71.02925,66.7730833333333,61.0825,57.2815833333333,52.8378333333333,48.7284166666667,43.7075833333333,38.4136666666667,35.56625,32.3265833333333,30.62025,29.0805,28.1995833333333,27.3355,25.8618333333333,25.18375,23.8010833333333,21.2835,18.6309166666667,14.8965833333333,11.7571666666667,8.85725,6.09925,3.91166666666667,2.58608333333333,1.78491666666667,1.13108333333333,0.744583333333333,0.473,0.296083333333333,0.195583333333333,0.140583333333333,0.0819166666666667,0.0493333333333333,0,0,0,0,0,1
"2026-08-28 02:00:00",0,1,1,1,737.625,5,20.8083333333333,96.9833333333333,50.775,0.0000000696342916666667,0.0000182196583333333,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,24.3019166666667,33.1134166666667,25.6144166666667,24.6574166666667,1.88941666666667,8460.045,47,21.4833333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.982583333333,233.624583333333,243.088083333333,251.865,268.387916666667,285.762166666667,297.893166666667,324.522916666667,345.920166666667,359.2555,380.217083333333,398.223666666667,425.959083333333,440.5465,440.939166666667,436.762,432.354333333333,400.849083333333,358.601166666667,312.228583333333,261.393,207.886583333333,159.947083333333,123.366666666667,99.4781666666667,81.45075,69.8130833333333,61.6466666666667,54.94825,48.8719166666667,42.7965833333333,37.5439166666667,33.7204166666667,28.8359166666667,26.1675,23.1538333333333,21.2999166666667,20.5041666666667,20.0449166666667,20.1664166666667,20.0470833333333,20.0223333333333,19.3648333333333,18.34125,16.151,13.6659166666667,10.4670833333333,7.07075,4.85375,3.17883333333333,2.11466666666667,1.36675,0.716,0.619916666666667,0.36825,0.303916666666667,0.148916666666667,0.115083333333333,0.0628333333333333,0.0496666666666667,0,0,0,0,0,1
"2026-08-28 03:00:00",0,1,1,1,737.166666666667,5,20.2666666666667,96.9,50.7583333333333,0.000000069530675,0.0000181937,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,20.1496666666667,33.3480833333333,23.3858333333333,10.9515,2.10033333333333,6308.69083333333,46.8333333333333,21.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.715583333333,366.723,330.156583333333,314.929333333333,290.831,275.943916666667,262.037333333333,244.953583333333,235.128416666667,227.7395,228.206666666667,221.579583333333,221.649,223.401583333333,222.469,219.278416666667,207.818833333333,191.656583333333,170.6715,151.26625,130.914833333333,115.057083333333,100.329,90.12575,82.6215833333333,77.0426666666667,72.5948333333333,66.1825,60.46725,53.724,48.2563333333333,41.9379166666667,37.1685,31.8560833333333,27.458,24.4798333333333,21.6846666666667,19.731,18.7826666666667,18.59675,18.7,18.4581666666667,18.277,18.2628333333333,17.1746666666667,15.3558333333333,12.57925,9.51233333333333,6.59025,4.3605,2.77825,1.71058333333333,1.01991666666667,0.658833333333333,0.407416666666667,0.296166666666667,0.195833333333333,0.0790833333333333,0.0590833333333333,0.0468333333333333,0,0,0,0,0,1
"2026-08-28 04:00:00",0,1,1,1,737.108333333333,5,20.1833333333333,96.9,50.675,0.0000000695055333333333,0.0000181897,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,18.2071666666667,33.93075,22.8036666666667,10.0156666666667,2.17966666666667,5768.08416666667,47,21.025,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.317,395.951416666667,369.511416666667,332.96175,307.062416666667,281.777166666667,259.239083333333,238.580083333333,219.75325,203.973,189.951166666667,179.479,171.7635,160.18175,152.226416666667,146.1465,135.698666666667,126.44875,117.829416666667,108.276583333333,100.394166666667,92.7723333333333,85.8505,81.6944166666667,78.1005,76.2169166666667,72.9200833333333,68.9686666666667,63.1823333333333,58.0286666666667,50.9750833333333,44.4541666666667,38.9915833333333,33.2660833333333,28.35225,24.793,21.8250833333333,20.2935,19.2435,18.9796666666667,18.4964166666667,18.727,18.45025,18.3169166666667,18.0964166666667,17.4494166666667,14.8830833333333,12.1541666666667,8.70216666666667,5.96283333333333,3.84625,2.23641666666667,1.32941666666667,0.906916666666667,0.433,0.332916666666667,0.140333333333333,0.08825,0.0635,0.0375,0,0,0,0,0,1
"2026-08-28 05:00:00",0,1,1,1,737.125,5,20.2333333333333,96.9,50.6,0.0000000695206333333333,0.0000181921,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,19.0605,34.5121666666667,23.211,10.7494166666667,2.18958333333333,8930.9725,46.9166666666667,21.0416666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792.3475,659.179666666667,560.322083333333,482.267083333333,425.487583333333,376.114583333333,342.988333333333,314.205083333333,305.038833333333,302.896,292.710666666667,291.25875,272.971333333333,256.932833333333,246.131666666667,230.7975,220.586333333333,209.11225,200.416416666667,183.82875,168.654333333333,154.465833333333,139.4365,128.343,122.338833333333,114.464833333333,110.736833333333,105.38775,99.2280833333333,92.2284166666667,85.3188333333333,76.3961666666667,66.8125,56.9970833333333,49.17225,42.8715833333333,36.4981666666667,31.9683333333333,28.2105833333333,26.9288333333333,25.3954166666667,24.00275,23.9615833333333,23.5175833333333,23.3381666666667,21.5080833333333,20.8430833333333,18.4715,15.3613333333333,11.9910833333333,8.314,5.03891666666667,3.14508333333333,1.6645,1.14658333333333,0.535833333333333,0.337416666666667,0.145,0.122583333333333,0.078,0,0,0,0,0,1
"2026-08-28 06:00:00",0,1,1,1,737.583333333333,5,20.85,96.9,51.1083333333333,0.0000000697067666666667,0.0000182216583333333,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,22.1195,42.6836666666667,27.3660833333333,9.70691666666667,2.37358333333333,6196.92666666667,48.0833333333333,21.5166666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.771166666667,424.493583333333,379.107666666667,347.8945,311.752333333333,281.671416666667,259.29925,233.699,210.162333333333,193.82075,178.313833333333,165.766333333333,150.757666666667,141.397083333333,133.185083333333,125.462833333333,119.0185,113.760833333333,108.326833333333,106.840416666667,102.549916666667,99.59275,99.7473333333333,100.8955,101.8125,103.115916666667,105.867333333333,103.743583333333,101.252583333333,96.1465833333333,87.9235833333333,77.7084166666667,65.7820833333333,56.71275,47.3274166666667,41.0579166666667,35.7014166666667,32.9680833333333,30.1838333333333,28.95275,28.03275,27.8235,27.23575,26.6316666666667,24.8489166666667,23.1766666666667,20.6250833333333,17.1413333333333,12.7458333333333,8.83966666666667,5.77375,3.448,2.14216666666667,1.14875,0.719,0.41075,0.238333333333333,0.16275,0.126333333333333,0.11275,0,0,0,0,0,1
"2026-08-28 07:00:00",0,1,1,1,737.125,5,20.2083333333333,96.9,54.05,0.0000000695130916666667,0.0000181909,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,17.609,32.1773333333333,21.7064166666667,9.77141666666667,2.15308333333333,6911.59916666667,50.3333333333333,21.1916666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723.754666666667,564.874,471.073666666667,391.142416666667,334.118666666667,295.522916666667,270.262416666667,253.92775,245.2435,239.457333333333,229.853,221.251666666667,216.401083333333,211.876,197.743583333333,183.09525,168.1675,150.05775,133.0615,117.846416666667,103.733666666667,94.2891666666667,86.2935833333333,80.7859166666667,79.7740833333333,76.9060833333333,74.952,71.7035833333333,67.8413333333333,60.0125,52.9654166666667,46.543,39.7774166666667,33.52675,29.7535,26.3259166666667,23.7635,21.75025,21.6200833333333,22.721,22.15275,22.4691666666667,21.7830833333333,21.4215,20.4198333333333,18.07925,15.29625,12.2880833333333,9.01841666666667,5.882,3.54658333333333,2.10166666666667,1.25516666666667,0.747416666666667,0.58,0.30775,0.209,0.132166666666667,0.0635,0.0750833333333333,0,0,0,0,0,1
"2026-08-28 08:00:00",0,1,1,1,737.166666666667,5,20.3333333333333,96.8416666666667,53.2583333333333,0.0000000695927166666667,0.0000181969,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,16.9935,31.757,21.4160833333333,9.647,2.14691666666667,5482.12916666667,49,21.2083333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.803583333333,408.765333333333,364.665916666667,339.316416666667,319.972833333333,285.2005,271.548083333333,240.08825,221.204583333333,200.816666666667,184.504666666667,166.185583333333,155.74975,144.970416666667,136.614416666667,126.608333333333,118.994833333333,108.416416666667,99.16125,90.063,82.62025,77.1409166666667,73.1731666666667,69.3804166666667,67.3556666666667,63.6691666666667,59.821,53.9305,46.1605,38.6049166666667,32.447,28.9713333333333,26.93925,25.5514166666667,25.3675,26.3048333333333,25.55025,25.4229166666667,23.9438333333333,22.27175,20.6504166666667,19.5780833333333,18.5954166666667,17.20375,15.5228333333333,13.3721666666667,10.9645833333333,7.9755,5.62516666666667,3.44833333333333,2.13266666666667,1.3375,0.842083333333333,0.574916666666667,0.383166666666667,0.238333333333333,0.19575,0.136333333333333,0.04525,0.0281666666666667,0,0,0,0,0,1
"2026-08-28 09:00:00",0,1,1,1,737.091666666667,5,20.275,96.8,53.1333333333333,0.00000006960505,0.0000181941,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,18.2663333333333,32.2975833333333,22.2844166666667,10.7494166666667,2.11841666666667,5596.13916666667,49.25,21.225,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.840916666667,357.704083333333,329.68725,295.714666666667,272.73925,265.997083333333,261.337916666667,250.244,239.759166666667,224.019083333333,216.232,202.364833333333,190.538583333333,179.517666666667,169.933916666667,155.004,142.495166666667,128.478333333333,114.423416666667,104.639083333333,95.2929166666667,85.4734166666667,77.9849166666667,70.4283333333333,67.71875,63.2378333333333,57.177,51.3106666666667,44.54075,38.0508333333333,32.8635,30.5570833333333,29.4051666666667,29.3501666666667,29.9811666666667,30.0189166666667,29.9735833333333,29.0695,27.9648333333333,25.5208333333333,23.4373333333333,20.7863333333333,18.2795833333333,15.6929166666667,13.5951666666667,11.1063333333333,8.61066666666667,6.20483333333333,4.1925,2.62866666666667,1.70958333333333,1.12616666666667,0.763583333333333,0.547,0.3035,0.195083333333333,0.21725,0.0443333333333333,0.0548333333333333,0.0516666666666667,0,0,0,0,0,1
"2026-08-28 10:00:00",0,1,1,1,736.925,5,20.05,96.8,53.4166666666667,0.0000000695371,0.0000181833,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,17.0854166666667,29.7805,20.8635,10.1733333333333,2.05733333333333,7033.25166666667,49.0833333333333,21.075,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567.231916666667,477.892916666667,443.205916666667,404.454333333333,389.579333333333,367.11525,365.908083333333,346.0505,321.932,292.068583333333,269.50225,249.70225,232.804666666667,221.504333333333,207.437833333333,193.9585,175.844333333333,155.678416666667,132.559583333333,114.728333333333,100.517916666667,87.2920833333333,77.2793333333333,67.7971666666667,60.8741666666667,56.4523333333333,51.07625,45.7860833333333,41.6839166666667,37.01075,35.5414166666667,35.8740833333333,36.56075,38.76175,39.2526666666667,39.28225,38.0625,34.3890833333333,30.5118333333333,26.17575,22.0296666666667,19.2239166666667,17.0678333333333,14.48175,12.9555833333333,10.3824166666667,8.28241666666667,6.272,4.50016666666667,2.95308333333333,1.96883333333333,1.37358333333333,0.855916666666667,0.640333333333333,0.377833333333333,0.20575,0.15275,0.09225,0.0453333333333333,0.0563333333333333,0,0,0,0,0,1
"2026-08-28 11:00:00",0,1,1,1,736.875,5,19.9666666666667,96.8,53.1583333333333,0.0000000695119416666667,0.0000181793,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,16.9630833333333,30.8475,21.2293333333333,10.1409166666667,2.09916666666667,6192.28666666667,48.6666666666667,20.9916666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455.256416666667,405.432166666667,378.413583333333,362.82325,355.367833333333,344.597166666667,351.346583333333,344.518416666667,322.086416666667,292.992666666667,253.166583333333,214.53975,180.61325,155.112333333333,140.119,131.708833333333,121.973,114.243666666667,105.634083333333,94.73375,86.238,77.3649166666667,68.6973333333333,63.2599166666667,57.6835,53.49175,48.74625,43.5385833333333,40.41225,38.0975833333333,38.5163333333333,38.71875,40.506,42.53425,43.2000833333333,41.0675833333333,38.465,34.43525,29.4508333333333,24.6615,20.82425,18.5908333333333,15.887,14.3335,12.5965,10.7313333333333,8.23558333333333,5.80441666666667,4.126,2.65441666666667,1.62525,1.018,0.717833333333333,0.496083333333333,0.290083333333333,0.186583333333333,0.140916666666667,0.13575,0.0890833333333333,0.0406666666666667,0,0,0,0,0,1
"2026-08-28 12:00:00",0,1,1,1,736.983333333333,5,20.1166666666667,96.8,55.25,0.0000000695572333333333,0.0000181865,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,17.3399166666667,27.0243333333333,20.0923333333333,12.4746666666667,1.909,10279.0708333333,52,21.0583333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.329166666667,590.525833333333,584.0645,565.5425,580.78875,574.5535,580.805333333333,576.12125,560.440333333333,532.989,504.4205,461.556,414.606416666667,371.900166666667,337.049333333333,301.620416666667,269.017083333333,235.01375,199.012833333333,164.927583333333,135.68975,111.47525,87.6194166666667,71.1381666666667,62.16275,53.69225,49.53975,46.2133333333333,44.38575,41.7278333333333,41.7489166666667,42.6615833333333,44.7671666666667,45.5555,45.43175,44.6203333333333,40.3614166666667,35.8528333333333,31.25225,26.5505,23.6610833333333,21.3031666666667,19.4723333333333,17.219,14.58425,12.2550833333333,9.43416666666667,7.07058333333333,4.64033333333333,3.07716666666667,2.21325,1.42933333333333,1.05225,0.6055,0.48825,0.285166666666667,0.217666666666667,0.136083333333333,0.113833333333333,0.08425,0,0,0,0,0,1
