"date (UTC+0)","NO (ppb)","NO (ppb)y","Flag"
2026-06-24 08:00:00,1.095,6.108,2
2026-06-24 08:01:00,1.038,5.915,0
2026-06-24 08:02:00,0.986,5.645,0
2026-06-24 08:03:00,0.931,5.346,2
2026-06-24 08:04:00,0.879,5.117,2
2026-06-24 08:05:00,0.818,4.857,0
2026-06-24 08:06:00,0.749,4.535,2
2026-06-24 08:07:00,0.687,4.276,2
2026-06-24 08:08:00,0.639,4.062,0
2026-06-24 08:09:00,0.616,3.99,0
2026-06-24 08:10:00,0.614,3.965,2
2026-06-24 08:11:00,0.601,3.923,0
2026-06-24 08:12:00,0.61,3.955,0
2026-06-24 08:13:00,0.624,3.981,2
2026-06-24 08:14:00,0.649,4.015,2
2026-06-24 08:15:00,0.652,4.081,2
2026-06-24 08:16:00,0.658,4.155,2
2026-06-24 08:17:00,0.668,4.199,2
2026-06-24 08:18:00,0.682,4.279,0
2026-06-24 08:19:00,0.721,4.379,0
2026-06-24 08:20:00,0.751,4.516,2
2026-06-24 08:21:00,0.764,4.618,0
2026-06-24 08:22:00,0.79,4.757,0
2026-06-24 08:23:00,0.835,4.95,2
2026-06-24 08:24:00,0.894,5.178,2
2026-06-24 08:25:00,0.913,5.293,0
2026-06-24 08:26:00,0.955,5.424,2
2026-06-24 08:27:00,0.996,5.529,2
2026-06-24 08:28:00,0.998,5.59,0
2026-06-24 08:29:00,0.982,5.581,0
2026-06-24 08:30:00,0.955,5.53,2
2026-06-24 08:31:00,0.947,5.465,2
2026-06-24 08:32:00,0.901,5.301,0
2026-06-24 08:33:00,0.87,5.187,0
2026-06-24 08:34:00,0.85,5.118,2
2026-06-24 08:35:00,0.829,5.033,0
2026-06-24 08:36:00,0.797,4.99,0
2026-06-24 08:37:00,0.777,4.826,2
2026-06-24 08:38:00,0.755,4.709,0
2026-06-24 08:39:00,0.748,4.584,0
2026-06-24 08:40:00,0.724,4.461,0
2026-06-24 08:41:00,0.691,4.344,2
2026-06-24 08:42:00,0.674,4.256,2
2026-06-24 08:43:00,0.634,4.083,0
2026-06-24 08:44:00,0.572,3.811,2
2026-06-24 08:45:00,0.523,3.648,0
2026-06-24 08:46:00,0.504,3.561,0
2026-06-24 08:47:00,0.491,3.489,0
2026-06-24 08:48:00,0.481,3.409,0
2026-06-24 08:49:00,0.465,3.333,0
2026-06-24 08:50:00,0.449,3.238,0
2026-06-24 08:51:00,0.458,3.239,2
2026-06-24 08:52:00,0.461,3.281,0
2026-06-24 08:53:00,0.481,3.412,2
2026-06-24 08:54:00,0.515,3.513,2
2026-06-24 08:55:00,0.539,3.632,2
2026-06-24 08:56:00,0.551,3.769,0
2026-06-24 08:57:00,0.567,4.015,0
2026-06-24 08:58:00,0.58,4.168,2
2026-06-24 08:59:00,0.609,4.275,0
