"date (UTC+0)","NO (ppb)","NO (ppb)y","Flag"
2026-06-05 01:00:00,0.113,1.143,0
2026-06-05 01:01:00,0.122,1.214,2
2026-06-05 01:02:00,0.128,1.278,2
2026-06-05 01:03:00,0.141,1.286,0
2026-06-05 01:04:00,0.139,1.341,2
2026-06-05 01:05:00,0.139,1.331,0
2026-06-05 01:06:00,0.144,1.344,0
2026-06-05 01:07:00,0.142,1.344,0
2026-06-05 01:08:00,0.144,1.375,2
2026-06-05 01:09:00,0.152,1.408,0
2026-06-05 01:10:00,0.153,1.398,0
2026-06-05 01:11:00,0.159,1.414,2
2026-06-05 01:12:00,0.14,1.433,0
2026-06-05 01:13:00,0.143,1.478,2
2026-06-05 01:14:00,0.146,1.514,2
2026-06-05 01:15:00,0.142,1.52,2
2026-06-05 01:16:00,0.136,1.504,0
2026-06-05 01:17:00,0.138,1.525,0
2026-06-05 01:18:00,0.132,1.5,2
2026-06-05 01:19:00,0.124,1.496,0
2026-06-05 01:20:00,0.115,1.539,0
2026-06-05 01:21:00,0.112,1.501,2
2026-06-05 01:22:00,0.107,1.434,2
2026-06-05 01:23:00,0.11,1.413,0
2026-06-05 01:24:00,0.104,1.301,2
2026-06-05 01:25:00,0.097,1.196,2
2026-06-05 01:26:00,0.103,1.078,0
2026-06-05 01:27:00,0.132,1.023,0
2026-06-05 01:28:00,0.16,0.893,2
2026-06-05 01:29:00,0.243,0.9,2
2026-06-05 01:30:00,0.282,0.812,0
2026-06-05 01:31:00,0.308,0.748,2
2026-06-05 01:32:00,0.33,0.717,2
2026-06-05 01:33:00,0.326,0.692,0
2026-06-05 01:34:00,0.332,0.675,0
2026-06-05 01:35:00,0.319,0.623,2
2026-06-05 01:36:00,0.285,0.539,0
2026-06-05 01:37:00,0.209,0.403,0
2026-06-05 01:38:00,0.164,0.39,2
2026-06-05 01:39:00,0.143,0.426,2
2026-06-05 01:40:00,0.12,0.383,2
2026-06-05 01:41:00,0.11,0.354,0
2026-06-05 01:42:00,0.104,0.438,2
2026-06-05 01:43:00,0.1,0.52,0
2026-06-05 01:44:00,0.115,0.567,0
2026-06-05 01:45:00,0.146,0.663,0
2026-06-05 01:46:00,0.201,0.745,0
2026-06-05 01:47:00,0.206,0.729,0
2026-06-05 01:48:00,0.199,0.687,0
2026-06-05 01:49:00,0.201,0.666,2
2026-06-05 01:50:00,0.22,0.651,0
2026-06-05 01:51:00,0.257,0.631,2
2026-06-05 01:52:00,0.304,0.603,2
2026-06-05 01:53:00,0.316,0.605,0
2026-06-05 01:54:00,0.264,0.542,0
2026-06-05 01:55:00,0.259,0.532,0
2026-06-05 01:56:00,0.272,0.558,2
2026-06-05 01:57:00,0.28,0.563,0
2026-06-05 01:58:00,0.267,0.539,0
2026-06-05 01:59:00,0.256,0.504,2
