"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-07-21 23:00:00,0.103,2.97,0
2026-07-21 23:01:00,0.09,3.038,0
2026-07-21 23:02:00,0.079,3.058,2
2026-07-21 23:03:00,0.061,3.072,0
2026-07-21 23:04:00,0.054,3.055,0
2026-07-21 23:05:00,0.037,3.019,2
2026-07-21 23:06:00,0.042,3.015,0
2026-07-21 23:07:00,0.034,2.981,0
2026-07-21 23:08:00,0.037,2.986,2
2026-07-21 23:09:00,0.031,3.018,0
2026-07-21 23:10:00,0.036,3.035,0
2026-07-21 23:11:00,0.03,3.065,0
2026-07-21 23:12:00,0.021,3.075,2
2026-07-21 23:13:00,0.033,3.074,2
2026-07-21 23:14:00,0.028,3.095,0
2026-07-21 23:15:00,0.039,3.084,2
2026-07-21 23:16:00,0.045,3.094,0
2026-07-21 23:17:00,0.091,3.125,0
2026-07-21 23:18:00,0.26,3.549,0
2026-07-21 23:19:00,0.312,3.756,2
2026-07-21 23:20:00,0.35,3.881,0
2026-07-21 23:21:00,0.373,4.022,0
2026-07-21 23:22:00,0.379,4.04,2
2026-07-21 23:23:00,0.365,4.012,2
2026-07-21 23:24:00,0.366,3.97,2
2026-07-21 23:25:00,0.369,3.93,2
2026-07-21 23:26:00,0.214,3.544,2
2026-07-21 23:27:00,0.173,3.347,0
2026-07-21 23:28:00,0.121,3.039,0
2026-07-21 23:29:00,0.098,2.808,2
2026-07-21 23:30:00,0.072,2.692,0
2026-07-21 23:31:00,0.092,2.66,0
2026-07-21 23:32:00,0.094,2.669,2
2026-07-21 23:33:00,0.075,2.651,2
2026-07-21 23:34:00,0.067,2.66,0
2026-07-21 23:35:00,0.054,2.638,2
2026-07-21 23:36:00,0.064,2.633,2
2026-07-21 23:37:00,0.064,2.661,0
2026-07-21 23:38:00,0.075,2.651,0
2026-07-21 23:39:00,0.071,2.654,2
2026-07-21 23:40:00,0.073,2.651,2
2026-07-21 23:41:00,0.076,2.626,0
2026-07-21 23:42:00,0.079,2.622,0
2026-07-21 23:43:00,0.088,2.619,2
2026-07-21 23:44:00,0.094,2.611,0
2026-07-21 23:45:00,0.101,2.585,0
2026-07-21 23:46:00,0.096,2.589,2
2026-07-21 23:47:00,0.106,2.585,0
2026-07-21 23:48:00,0.114,2.603,0
2026-07-21 23:49:00,0.114,2.609,0
2026-07-21 23:50:00,0.107,2.642,2
2026-07-21 23:51:00,0.105,2.627,2
2026-07-21 23:52:00,0.085,2.607,0
2026-07-21 23:53:00,0.059,2.589,2
2026-07-21 23:54:00,0.058,2.589,0
2026-07-21 23:55:00,0.062,2.567,0
2026-07-21 23:56:00,0.054,2.495,0
2026-07-21 23:57:00,0.047,2.439,0
2026-07-21 23:58:00,0.049,2.405,0
2026-07-21 23:59:00,0.064,2.343,0
