"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-07-12 03:00:00,0.107,-0.223,1
2026-07-12 03:01:00,0.103,-0.253,2
2026-07-12 03:02:00,0.104,-0.271,1
2026-07-12 03:03:00,0.097,-0.289,1
2026-07-12 03:04:00,0.097,-0.306,2
2026-07-12 03:05:00,0.096,-0.331,1
2026-07-12 03:06:00,0.092,-0.342,1
2026-07-12 03:07:00,0.11,-0.292,2
2026-07-12 03:08:00,0.118,-0.253,2
2026-07-12 03:09:00,0.114,-0.223,2
2026-07-12 03:10:00,0.108,-0.198,1
2026-07-12 03:11:00,0.104,-0.166,2
2026-07-12 03:12:00,0.076,-0.133,1
2026-07-12 03:13:00,0.082,-0.099,1
2026-07-12 03:14:00,0.072,-0.077,2
2026-07-12 03:15:00,0.07,-0.086,1
2026-07-12 03:16:00,0.053,-0.14,1
2026-07-12 03:17:00,0.031,-0.168,1
2026-07-12 03:18:00,0.038,-0.195,2
2026-07-12 03:19:00,0.051,-0.208,1
2026-07-12 03:20:00,0.058,-0.247,2
2026-07-12 03:21:00,0.078,-0.296,2
2026-07-12 03:22:00,0.09,-0.329,1
2026-07-12 03:23:00,0.101,-0.344,1
2026-07-12 03:24:00,0.116,-0.353,1
2026-07-12 03:25:00,0.123,-0.351,2
2026-07-12 03:26:00,0.13,-0.344,1
2026-07-12 03:27:00,0.128,-0.338,1
2026-07-12 03:28:00,0.133,-0.322,2
2026-07-12 03:29:00,0.137,-0.299,1
2026-07-12 03:30:00,0.124,-0.264,1
2026-07-12 03:31:00,0.116,-0.224,2
2026-07-12 03:32:00,0.109,-0.195,2
2026-07-12 03:33:00,0.098,-0.16,1
2026-07-12 03:34:00,0.103,-0.147,1
2026-07-12 03:35:00,0.095,-0.124,2
2026-07-12 03:36:00,0.104,-0.122,2
2026-07-12 03:37:00,0.097,-0.124,1
2026-07-12 03:38:00,0.097,-0.101,2
2026-07-12 03:39:00,0.1,-0.098,2
2026-07-12 03:40:00,0.105,-0.114,1
2026-07-12 03:41:00,0.101,-0.122,1
2026-07-12 03:42:00,0.1,-0.137,2
2026-07-12 03:43:00,0.1,-0.148,1
2026-07-12 03:44:00,0.101,-0.14,1
2026-07-12 03:45:00,0.094,-0.148,2
2026-07-12 03:46:00,0.084,-0.167,2
2026-07-12 03:47:00,0.083,-0.191,2
2026-07-12 03:48:00,0.082,-0.209,2
2026-07-12 03:49:00,0.092,-0.237,2
2026-07-12 03:50:00,0.11,-0.255,1
2026-07-12 03:51:00,0.103,-0.279,1
2026-07-12 03:52:00,0.093,-0.285,2
2026-07-12 03:53:00,0.098,-0.288,1
2026-07-12 03:54:00,0.099,-0.293,1
2026-07-12 03:55:00,0.107,-0.308,1
2026-07-12 03:56:00,0.117,-0.307,2
2026-07-12 03:57:00,0.115,-0.294,1
2026-07-12 03:58:00,0.104,-0.282,2
2026-07-12 03:59:00,0.1,-0.255,2
