"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-07-30 14:00:00,0.472,1.894,2
2026-07-30 14:01:00,0.453,1.88,0
2026-07-30 14:02:00,0.441,1.877,0
2026-07-30 14:03:00,0.428,1.853,2
2026-07-30 14:04:00,0.406,1.842,0
2026-07-30 14:05:00,0.399,1.808,0
2026-07-30 14:06:00,0.406,1.76,2
2026-07-30 14:07:00,0.391,1.605,2
2026-07-30 14:08:00,0.373,1.52,0
2026-07-30 14:09:00,0.356,1.412,0
2026-07-30 14:10:00,0.355,1.329,2
2026-07-30 14:11:00,0.362,1.276,2
2026-07-30 14:12:00,0.371,1.183,0
2026-07-30 14:13:00,0.37,1.154,2
2026-07-30 14:14:00,0.369,1.131,2
2026-07-30 14:15:00,0.365,1.095,0
2026-07-30 14:16:00,0.381,1.073,0
2026-07-30 14:17:00,0.387,1.096,2
2026-07-30 14:18:00,0.389,1.136,0
2026-07-30 14:19:00,0.382,1.114,0
2026-07-30 14:20:00,0.368,1.121,2
2026-07-30 14:21:00,0.371,1.131,2
2026-07-30 14:22:00,0.367,1.114,2
2026-07-30 14:23:00,0.391,1.138,2
2026-07-30 14:24:00,0.399,1.172,2
2026-07-30 14:25:00,0.403,1.235,0
2026-07-30 14:26:00,0.42,1.256,0
2026-07-30 14:27:00,0.427,1.281,2
2026-07-30 14:28:00,0.444,1.301,0
2026-07-30 14:29:00,0.468,1.34,0
2026-07-30 14:30:00,0.498,1.412,2
2026-07-30 14:31:00,0.534,1.474,2
2026-07-30 14:32:00,0.553,1.655,0
2026-07-30 14:33:00,0.545,1.657,2
2026-07-30 14:34:00,0.536,1.592,2
2026-07-30 14:35:00,0.51,1.519,0
2026-07-30 14:36:00,0.493,1.433,0
2026-07-30 14:37:00,0.456,1.361,0
2026-07-30 14:38:00,0.437,1.255,2
2026-07-30 14:39:00,0.387,1.095,0
2026-07-30 14:40:00,0.338,0.957,0
2026-07-30 14:41:00,0.31,0.701,2
2026-07-30 14:42:00,0.304,0.621,0
2026-07-30 14:43:00,0.313,0.596,0
2026-07-30 14:44:00,0.313,0.603,2
2026-07-30 14:45:00,0.358,0.626,0
2026-07-30 14:46:00,0.406,0.682,0
2026-07-30 14:47:00,0.461,0.743,0
2026-07-30 14:48:00,0.512,0.875,2
2026-07-30 14:49:00,0.581,1.103,2
2026-07-30 14:50:00,0.589,1.193,0
2026-07-30 14:51:00,0.604,1.285,2
2026-07-30 14:52:00,0.631,1.381,0
2026-07-30 14:53:00,0.685,1.475,0
2026-07-30 14:54:00,0.771,1.736,0
2026-07-30 14:55:00,0.777,1.763,2
2026-07-30 14:56:00,0.779,1.804,0
2026-07-30 14:57:00,0.753,1.72,0
2026-07-30 14:58:00,0.732,1.498,2
2026-07-30 14:59:00,0.71,1.424,2
