"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-07-20 18:00:00,0.086,1.97,0
2026-07-20 18:01:00,0.087,2.08,0
2026-07-20 18:02:00,0.095,2.139,2
2026-07-20 18:03:00,0.107,2.138,0
2026-07-20 18:04:00,0.103,2.109,0
2026-07-20 18:05:00,0.089,1.994,2
2026-07-20 18:06:00,0.089,1.872,2
2026-07-20 18:07:00,0.093,1.794,2
2026-07-20 18:08:00,0.105,1.636,2
2026-07-20 18:09:00,0.105,1.467,2
2026-07-20 18:10:00,0.094,1.307,0
2026-07-20 18:11:00,0.093,1.145,0
2026-07-20 18:12:00,0.099,1.094,2
2026-07-20 18:13:00,0.119,1.081,0
2026-07-20 18:14:00,0.124,1.128,0
2026-07-20 18:15:00,0.126,1.175,0
2026-07-20 18:16:00,0.128,1.224,2
2026-07-20 18:17:00,0.122,1.268,0
2026-07-20 18:18:00,0.12,1.298,2
2026-07-20 18:19:00,0.138,1.33,2
2026-07-20 18:20:00,0.128,1.376,0
2026-07-20 18:21:00,0.125,1.397,0
2026-07-20 18:22:00,0.133,1.571,0
2026-07-20 18:23:00,0.153,1.663,2
2026-07-20 18:24:00,0.165,1.819,0
2026-07-20 18:25:00,0.175,2.025,0
2026-07-20 18:26:00,0.188,2.274,2
2026-07-20 18:27:00,0.178,2.421,0
2026-07-20 18:28:00,0.15,2.535,0
2026-07-20 18:29:00,0.154,2.563,2
2026-07-20 18:30:00,0.14,2.493,0
2026-07-20 18:31:00,0.127,2.311,0
2026-07-20 18:32:00,0.11,2.203,0
2026-07-20 18:33:00,0.097,1.963,2
2026-07-20 18:34:00,0.097,1.676,2
2026-07-20 18:35:00,0.088,1.511,0
2026-07-20 18:36:00,0.092,1.343,2
2026-07-20 18:37:00,0.091,1.285,2
2026-07-20 18:38:00,0.098,1.285,0
2026-07-20 18:39:00,0.087,1.327,0
2026-07-20 18:40:00,0.083,1.415,2
2026-07-20 18:41:00,0.096,1.463,0
2026-07-20 18:42:00,0.094,1.465,0
2026-07-20 18:43:00,0.085,1.492,2
2026-07-20 18:44:00,0.088,1.512,2
2026-07-20 18:45:00,0.091,1.527,2
2026-07-20 18:46:00,0.082,1.519,2
2026-07-20 18:47:00,0.079,1.545,2
2026-07-20 18:48:00,0.09,1.594,0
2026-07-20 18:49:00,0.077,1.634,0
2026-07-20 18:50:00,0.062,1.715,2
2026-07-20 18:51:00,0.08,1.877,0
2026-07-20 18:52:00,0.074,1.983,0
2026-07-20 18:53:00,0.059,2.123,2
2026-07-20 18:54:00,0.07,2.292,2
2026-07-20 18:55:00,0.084,2.461,0
2026-07-20 18:56:00,0.092,2.496,2
2026-07-20 18:57:00,0.087,2.485,2
2026-07-20 18:58:00,0.103,2.4,0
2026-07-20 18:59:00,0.094,2.373,0
