"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-09-22 06:00:00,7.264,10.048,0
2026-09-22 06:01:00,7.264,10.059,0
2026-09-22 06:02:00,7.356,10.087,2
2026-09-22 06:03:00,7.387,10.084,0
2026-09-22 06:04:00,7.599,10.312,0
2026-09-22 06:05:00,8.003,10.853,2
2026-09-22 06:06:00,8.34,11.267,2
2026-09-22 06:07:00,8.562,11.653,0
2026-09-22 06:08:00,8.78,12.015,2
2026-09-22 06:09:00,9.306,12.775,2
2026-09-22 06:10:00,9.635,13.334,0
2026-09-22 06:11:00,10.046,13.892,0
2026-09-22 06:12:00,10.944,14.93,2
2026-09-22 06:13:00,11.878,15.884,2
2026-09-22 06:14:00,13.248,17.423,0
2026-09-22 06:15:00,15.128,19.393,2
2026-09-22 06:16:00,16.874,20.961,2
2026-09-22 06:17:00,31.305,34.667,0
2026-09-22 06:18:00,36.565,39.572,0
2026-09-22 06:19:00,22.573,28.31,2
2026-09-22 06:20:00,23.154,26.225,0
2026-09-22 06:21:00,26.251,29.179,0
2026-09-22 06:22:00,26.237,29.264,2
2026-09-22 06:23:00,25.905,29.138,2
2026-09-22 06:24:00,25.413,28.874,2
2026-09-22 06:25:00,24.845,28.517,0
2026-09-22 06:26:00,24.254,28.176,2
2026-09-22 06:27:00,23.448,27.552,0
2026-09-22 06:28:00,22.288,26.552,0
2026-09-22 06:29:00,20.696,25.065,2
2026-09-22 06:30:00,18.711,23.096,0
2026-09-22 06:31:00,17.495,21.695,0
2026-09-22 06:32:00,16.643,20.655,0
2026-09-22 06:33:00,15.776,19.596,2
2026-09-22 06:34:00,15.073,18.67,0
2026-09-22 06:35:00,14.546,17.828,2
2026-09-22 06:36:00,14.603,17.677,2
2026-09-22 06:37:00,15.144,18.116,0
2026-09-22 06:38:00,15.655,18.496,0
2026-09-22 06:39:00,16.19,19.002,0
2026-09-22 06:40:00,16.861,19.622,2
2026-09-22 06:41:00,17.756,20.487,0
2026-09-22 06:42:00,18.359,21.033,0
2026-09-22 06:43:00,19.494,22.188,2
2026-09-22 06:44:00,20.298,23.091,0
2026-09-22 06:45:00,48.475,57.498,0
2026-09-22 06:46:00,32.381,35.258,2
2026-09-22 06:47:00,32.381,35.258,2
2026-09-22 06:48:00,29.726,32.721,0
2026-09-22 06:49:00,32.399,35.099,0
2026-09-22 06:50:00,29.351,32.265,2
2026-09-22 06:51:00,29.7,32.511,2
2026-09-22 06:52:00,30.166,32.925,0
2026-09-22 06:53:00,30.587,33.287,2
2026-09-22 06:54:00,31.016,33.694,2
2026-09-22 06:55:00,31.278,33.938,0
2026-09-22 06:56:00,31.742,34.393,0
2026-09-22 06:57:00,32.029,34.725,2
2026-09-22 06:58:00,32.029,34.725,0
2026-09-22 06:59:00,32.101,34.905,0
