"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-09-18 11:00:00,1.214,1.893,0
2026-09-18 11:01:00,1.199,1.813,0
2026-09-18 11:02:00,1.156,1.772,2
2026-09-18 11:03:00,1.135,1.8,0
2026-09-18 11:04:00,1.119,1.811,0
2026-09-18 11:05:00,1.098,1.78,0
2026-09-18 11:06:00,1.118,1.838,2
2026-09-18 11:07:00,1.145,1.938,2
2026-09-18 11:08:00,1.209,2.079,0
2026-09-18 11:09:00,1.25,2.227,2
2026-09-18 11:10:00,1.237,2.274,0
2026-09-18 11:11:00,1.242,2.319,0
2026-09-18 11:12:00,1.249,2.379,0
2026-09-18 11:13:00,1.268,2.456,0
2026-09-18 11:14:00,1.271,2.51,0
2026-09-18 11:15:00,1.223,2.403,0
2026-09-18 11:16:00,1.17,2.315,2
2026-09-18 11:17:00,1.16,2.306,0
2026-09-18 11:18:00,1.311,2.723,2
2026-09-18 11:19:00,1.409,2.938,2
2026-09-18 11:20:00,1.426,2.859,0
2026-09-18 11:21:00,1.425,2.773,0
2026-09-18 11:22:00,1.386,2.66,0
2026-09-18 11:23:00,1.365,2.521,2
2026-09-18 11:24:00,1.346,2.408,0
2026-09-18 11:25:00,1.291,2.211,0
2026-09-18 11:26:00,1.16,1.8,2
2026-09-18 11:27:00,0.963,1.223,0
2026-09-18 11:28:00,0.881,1.031,0
2026-09-18 11:29:00,0.845,0.915,2
2026-09-18 11:30:00,0.84,0.938,2
2026-09-18 11:31:00,0.843,0.941,0
2026-09-18 11:32:00,0.834,0.948,0
2026-09-18 11:33:00,0.822,0.96,2
2026-09-18 11:34:00,0.819,0.956,2
2026-09-18 11:35:00,0.819,0.928,0
2026-09-18 11:36:00,0.808,0.919,2
2026-09-18 11:37:00,0.795,0.877,2
2026-09-18 11:38:00,0.781,0.836,0
2026-09-18 11:39:00,0.75,0.734,1
2026-09-18 11:40:00,0.733,0.683,2
2026-09-18 11:41:00,0.702,0.618,1
2026-09-18 11:42:00,0.703,0.6,1
2026-09-18 11:43:00,0.703,0.631,2
2026-09-18 11:44:00,0.706,0.665,2
2026-09-18 11:45:00,0.705,0.638,2
2026-09-18 11:46:00,0.7,0.63,2
2026-09-18 11:47:00,0.687,0.615,2
2026-09-18 11:48:00,0.723,0.689,1
2026-09-18 11:49:00,0.77,0.808,0
2026-09-18 11:50:00,0.808,0.93,2
2026-09-18 11:51:00,0.825,1.008,0
2026-09-18 11:52:00,0.853,1.15,0
2026-09-18 11:53:00,0.924,1.361,0
2026-09-18 11:54:00,1.041,1.729,2
2026-09-18 11:55:00,1.102,1.966,0
2026-09-18 11:56:00,1.128,2.102,2
2026-09-18 11:57:00,1.109,2.179,2
2026-09-18 11:58:00,1.091,2.161,0
2026-09-18 11:59:00,1.122,2.297,0
