"date (UTC)","NO2 (ppb)","Flag"
2026-06-11 19:00:00,4.417,0
2026-06-11 19:01:00,6.173,0
2026-06-11 19:02:00,5.425,0
2026-06-11 19:03:00,4.355,0
2026-06-11 19:04:00,3.761,0
2026-06-11 19:05:00,2.748,0
2026-06-11 19:06:00,3.15,0
2026-06-11 19:07:00,2.651,0
2026-06-11 19:08:00,3.425,0
2026-06-11 19:09:00,3.62,0
2026-06-11 19:10:00,2.693,0
2026-06-11 19:11:00,2.549,0
2026-06-11 19:12:00,2.354,0
2026-06-11 19:13:00,2.821,0
2026-06-11 19:14:00,2.647,0
2026-06-11 19:15:00,2.565,0
2026-06-11 19:16:00,2.571,0
2026-06-11 19:17:00,2.538,0
2026-06-11 19:18:00,2.377,0
2026-06-11 19:19:00,2.296,0
2026-06-11 19:20:00,2.704,0
2026-06-11 19:21:00,4.073,0
2026-06-11 19:22:00,4.516,0
2026-06-11 19:23:00,6.536,0
2026-06-11 19:24:00,7.304,0
2026-06-11 19:25:00,4.899,0
2026-06-11 19:26:00,3.971,0
2026-06-11 19:27:00,3.584,0
2026-06-11 19:28:00,3.216,0
2026-06-11 19:29:00,3.19,0
2026-06-11 19:30:00,3.19,0
2026-06-11 19:31:00,3.148,0
2026-06-11 19:32:00,2.991,0
2026-06-11 19:33:00,2.98,0
2026-06-11 19:34:00,3.102,0
2026-06-11 19:35:00,2.953,0
2026-06-11 19:36:00,2.558,0
2026-06-11 19:37:00,2.701,0
2026-06-11 19:38:00,2.44,0
2026-06-11 19:39:00,3.041,0
2026-06-11 19:40:00,3.66,0
2026-06-11 19:41:00,6.488,0
2026-06-11 19:42:00,6.978,0
2026-06-11 19:43:00,4.817,0
2026-06-11 19:44:00,5.335,0
2026-06-11 19:45:00,5.231,0
2026-06-11 19:46:00,4.984,0
2026-06-11 19:47:00,3.466,0
2026-06-11 19:48:00,3.644,0
2026-06-11 19:49:00,2.84,0
2026-06-11 19:50:00,2.87,0
2026-06-11 19:51:00,3.077,0
2026-06-11 19:52:00,3.732,0
2026-06-11 19:53:00,3.38,0
2026-06-11 19:54:00,4.778,0
2026-06-11 19:55:00,8.427,0
2026-06-11 19:56:00,8.8,0
2026-06-11 19:57:00,6.056,0
2026-06-11 19:58:00,8.244,0
2026-06-11 19:59:00,6.387,0
