"date (UTC)","NO2 (ppb)","Flag"
2026-06-19 18:00:00,1.873,0
2026-06-19 18:01:00,2.28,0
2026-06-19 18:02:00,2.321,0
2026-06-19 18:03:00,3.295,0
2026-06-19 18:04:00,3.676,0
2026-06-19 18:05:00,3.283,0
2026-06-19 18:06:00,4.177,0
2026-06-19 18:07:00,4.79,0
2026-06-19 18:08:00,5.421,0
2026-06-19 18:09:00,5.347,0
2026-06-19 18:10:00,2.858,0
2026-06-19 18:11:00,3.192,0
2026-06-19 18:12:00,3.729,0
2026-06-19 18:13:00,3.487,0
2026-06-19 18:14:00,2.524,0
2026-06-19 18:15:00,2.263,0
2026-06-19 18:16:00,2.261,0
2026-06-19 18:17:00,2.052,0
2026-06-19 18:18:00,2.108,0
2026-06-19 18:19:00,2.636,0
2026-06-19 18:20:00,2.034,0
2026-06-19 18:21:00,2.012,0
2026-06-19 18:22:00,2.202,0
2026-06-19 18:23:00,1.711,0
2026-06-19 18:24:00,2.351,0
2026-06-19 18:25:00,2.28,0
2026-06-19 18:26:00,1.656,0
2026-06-19 18:27:00,1.656,0
2026-06-19 18:28:00,1.656,0
2026-06-19 18:29:00,1.726,0
2026-06-19 18:30:00,2.092,0
2026-06-19 18:31:00,2.172,0
2026-06-19 18:32:00,2.324,0
2026-06-19 18:33:00,3.103,0
2026-06-19 18:34:00,4.385,0
2026-06-19 18:35:00,5.572,0
2026-06-19 18:36:00,5.929,0
2026-06-19 18:37:00,4.591,0
2026-06-19 18:38:00,4.347,0
2026-06-19 18:39:00,5.475,0
2026-06-19 18:40:00,4.912,0
2026-06-19 18:41:00,4.322,0
2026-06-19 18:42:00,3.848,0
2026-06-19 18:43:00,3.123,0
2026-06-19 18:44:00,2.559,0
2026-06-19 18:45:00,2.545,0
2026-06-19 18:46:00,2.102,0
2026-06-19 18:47:00,1.978,0
2026-06-19 18:48:00,2.341,0
2026-06-19 18:49:00,2.071,0
2026-06-19 18:50:00,2.819,0
2026-06-19 18:51:00,4.891,0
2026-06-19 18:52:00,5.032,0
2026-06-19 18:53:00,4.208,0
2026-06-19 18:54:00,5.736,0
2026-06-19 18:55:00,3.7,0
2026-06-19 18:56:00,3.088,0
2026-06-19 18:57:00,6.602,0
2026-06-19 18:58:00,2.6,0
2026-06-19 18:59:00,2.782,0
