"date (UTC)","NO2 (ppb)","Flag"
2026-06-05 15:00:00,2.708,0
2026-06-05 15:01:00,1.974,0
2026-06-05 15:02:00,2.63,0
2026-06-05 15:03:00,2.723,0
2026-06-05 15:04:00,1.863,0
2026-06-05 15:05:00,1.537,0
2026-06-05 15:06:00,1.803,0
2026-06-05 15:07:00,1.851,0
2026-06-05 15:08:00,3.392,0
2026-06-05 15:09:00,4.171,0
2026-06-05 15:10:00,2.495,0
2026-06-05 15:11:00,4.117,0
2026-06-05 15:12:00,3.364,0
2026-06-05 15:13:00,2.104,0
2026-06-05 15:14:00,2.672,0
2026-06-05 15:15:00,2.477,0
2026-06-05 15:16:00,1.97,0
2026-06-05 15:17:00,1.999,0
2026-06-05 15:18:00,1.811,0
2026-06-05 15:19:00,1.431,0
2026-06-05 15:20:00,1.834,0
2026-06-05 15:21:00,3.366,0
2026-06-05 15:22:00,3.655,0
2026-06-05 15:23:00,3.215,0
2026-06-05 15:24:00,2.756,0
2026-06-05 15:25:00,2.041,0
2026-06-05 15:26:00,2.134,0
2026-06-05 15:27:00,2.134,0
2026-06-05 15:28:00,1.859,0
2026-06-05 15:29:00,1.956,0
2026-06-05 15:30:00,2.233,0
2026-06-05 15:31:00,2.94,0
2026-06-05 15:32:00,2.634,0
2026-06-05 15:33:00,2.529,0
2026-06-05 15:34:00,3.155,0
2026-06-05 15:35:00,2.107,0
2026-06-05 15:36:00,1.717,0
2026-06-05 15:37:00,1.301,0
2026-06-05 15:38:00,1.3,0
2026-06-05 15:39:00,1.245,0
2026-06-05 15:40:00,1.52,0
2026-06-05 15:41:00,1.887,0
2026-06-05 15:42:00,1.957,0
2026-06-05 15:43:00,1.897,0
2026-06-05 15:44:00,2.429,0
2026-06-05 15:45:00,1.855,0
2026-06-05 15:46:00,1.223,0
2026-06-05 15:47:00,1.388,0
2026-06-05 15:48:00,1.158,0
2026-06-05 15:49:00,1.893,0
2026-06-05 15:50:00,2.018,0
2026-06-05 15:51:00,2.836,0
2026-06-05 15:52:00,3.399,0
2026-06-05 15:53:00,3.959,0
2026-06-05 15:54:00,3.308,0
2026-06-05 15:55:00,2.392,0
2026-06-05 15:56:00,2.42,0
2026-06-05 15:57:00,1.96,0
2026-06-05 15:58:00,2.061,0
2026-06-05 15:59:00,4.062,0
