"date (UTC)","NO2 (ppb)","Flag"
2026-07-27 13:48:00,1.441,0
2026-07-27 13:49:00,1.345,0
2026-07-27 13:50:00,1.764,0
2026-07-27 13:51:00,2.037,0
2026-07-27 13:52:00,1.897,0
2026-07-27 13:53:00,3.198,0
2026-07-27 13:54:00,2.746,0
2026-07-27 13:55:00,1.644,0
2026-07-27 13:56:00,1.478,0
2026-07-27 13:57:00,1.306,0
2026-07-27 13:58:00,1.275,0
2026-07-27 13:59:00,1.479,0
