"date","Communication.Status","Detector.Inlet.Flow..L.min.","Detector.Counting.Flow..L.min.","Impactor.Flow..L.min.","Impactor.D50..nm.","Sheath.Flow..L.min.","Sheath.Temp..C.","Sheath.Pressure..kPa.","Sheath.Relative.Humidity....","Mean.Free.Path..m.","Gas.Viscosity..Pa.s.","Low.Voltage..V.","High.Voltage..V.","Lower.Size..nm.","Upper.Size..nm.","Wide.Range.Scan.Mode","DMA.V.Ramping.Up..TUP...s.","DMA.V.Ramping.Down..TDOWN...s.","DMA.Column.transit.time.Tf..s.","DMA.Exit.to.Optical.Detector.Td..s.","DMA.at.Low.Voltage..TLOW...s.","DMA.at.High.Voltage..THIGH...s.","Adjustment..s.","Dilution.Factor","Aerosol.Density..g.cm..","Median..nm.","Mean..nm.","Geo..Mean..nm.","Mode..nm.","Geo..Std..Dev","Total.Concentration....cm..","Aerosol.Humidity....","Aerosol.Temperature..C.","Reserved.1","1.04","1.11","1.2","1.29","1.38","1.49","1.6","1.72","1.84","1.98","2.13","2.29","2.46","2.64","2.84","3.05","3.28","3.52","3.79","4.07","4.37","4.7","5.05","5.42","5.83","6.26","6.73","7.23","7.77","8.35","8.98","9.65","10.37","11.14","11.97","12.86","13.82","14.86","15.96","17.15","18.43","19.81","21.29","22.88","24.58","26.42","28.39","30.51","32.78","35.23","37.86","40.68","43.71","46.98","50.48","54.25","58.29","62.64","67.32","72.34","77.74","83.54","89.77","96.47","103.66","111.4","119.71","128.64","138.24","148.55","159.63","171.54","184.34","198.1","212.88","228.76","245.82","264.16","283.87","305.05","327.81","352.27","378.55","406.79","437.14","469.76","504.81","542.47","582.94","626.43","673.17","723.39","777.37","835.36","897.69","964.66","Flag"
2026-08-31,0,1,1,1,737.025,5,20.3,96.7,47.1583333333333,0.0000000696845916666667,0.0000181953,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,19.9318333333333,25.2211666666667,20.9986666666667,17.2523333333333,1.72416666666667,5333.99833333333,43.5,21.25,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.593416666667,252.514333333333,232.836,231.35925,233.845416666667,231.160166666667,239.754333333333,248.312,258.144,260.162833333333,256.636083333333,253.689,253.601333333333,250.2435,248.116416666667,242.595083333333,227.322,209.91975,189.295666666667,159.364,130.134333333333,101.534583333333,75.0780833333333,52.9945833333333,38.9564166666667,27.93575,21.1295833333333,15.9885,12.4306666666667,10.1881666666667,8.51875,7.43283333333333,6.99466666666667,6.60066666666667,6.24725,6.08716666666667,5.89166666666667,5.80933333333333,5.75933333333333,5.29441666666667,5.08191666666667,4.45516666666667,4.10983333333333,3.55891666666667,2.88416666666667,2.35308333333333,1.67066666666667,1.28333333333333,0.94,0.637916666666667,0.341,0.314083333333333,0.276666666666667,0.13425,0.131083333333333,0.102833333333333,0.0595833333333333,0.0965833333333333,0.0499166666666667,0.0468333333333333,0,0,0,0,0,1
2026-08-31 01:00:00,0,1,1,1,737.041666666667,5,20.2083333333333,96.7833333333333,46.775,0.0000000695969,0.0000181909,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,18.9986666666667,23.5843333333333,20.03525,18.50375,1.66041666666667,4936.50416666667,43,21.0333333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.546583333333,219.069166666667,226.752333333333,231.398083333333,238.201,249.532916666667,257.293083333333,273.634583333333,281.793916666667,279.550416666667,274.4305,262.14325,247.478083333333,230.482416666667,210.332916666667,193.233916666667,176.213166666667,160.711083333333,142.403083333333,124.163416666667,98.7048333333333,73.8861666666667,51.5495833333333,36.6704166666667,26.6124166666667,20.4740833333333,15.9195833333333,13.0108333333333,10.1344166666667,8.13158333333333,7.01,5.86025,5.30258333333333,5.18758333333333,4.729,4.61916666666667,4.59466666666667,4.28775,4.393,4.06058333333333,3.72458333333333,3.57783333333333,3.09791666666667,2.75091666666667,2.214,1.73066666666667,1.36925,1.00425,0.718333333333333,0.53475,0.341416666666667,0.285,0.204666666666667,0.138416666666667,0.09575,0.07,0.0720833333333333,0.0396666666666667,0.03175,0.00466666666666667,0,0,0,0,0,1
2026-08-31 02:00:00,0,1,1,1,737.025,5,20.175,96.8,46.4666666666667,0.00000006957485,0.0000181893,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,18.399,23.3916666666667,19.5533333333333,16.12925,1.67858333333333,4570.14583333333,42.8333333333333,21,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.2475,222.26725,213.702333333333,218.681166666667,221.2465,228.705583333333,239.450166666667,252.020833333333,252.81175,252.744333333333,246.373,237.332166666667,225.534666666667,215.431416666667,199.265166666667,186.119833333333,168.53775,148.705416666667,127.164,105.795916666667,85.5491666666667,65.4176666666667,47.7104166666667,32.7231666666667,22.7305833333333,16.2893333333333,12.0835,8.83575,7.16791666666667,5.71183333333333,4.44483333333333,3.91516666666667,3.77758333333333,3.78783333333333,3.60341666666667,3.65291666666667,3.65775,3.58516666666667,3.93758333333333,3.87116666666667,3.63391666666667,3.74108333333333,3.87933333333333,3.29708333333333,3.11408333333333,2.56975,2.24966666666667,1.60416666666667,1.10075,0.89625,0.539416666666667,0.32675,0.199916666666667,0.138416666666667,0.111333333333333,0.0698333333333333,0.0509166666666667,0.0351666666666667,0,0,0,0,0,0,0,1
2026-08-31 03:00:00,0,1,1,1,737.491666666667,5,20.7666666666667,96.8416666666667,44.4583333333333,0.0000000697236083333333,0.0000182176666666667,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,21.9941666666667,24.87175,21.75375,22.7515833333333,1.63033333333333,8360.35916666667,40.9166666666667,21.4666666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.206166666667,328.035333333333,297.75275,294.371416666667,293.672666666667,302.656333333333,315.901333333333,336.025583333333,357.110916666667,380.791916666667,406.539583333333,432.187583333333,453.273416666667,473.558666666667,482.5855,473.342583333333,457.804083333333,421.6185,369.34225,308.060083333333,241.723,177.061333333333,124.330333333333,79.7674166666667,49.75025,30.6808333333333,19.0765833333333,12.16425,9.12283333333333,7.22375,6.327,5.6985,5.07191666666667,4.9385,4.87858333333333,5.03866666666667,4.73933333333333,4.69133333333333,4.83125,4.6745,4.3095,3.90241666666667,3.79166666666667,3.03175,2.44558333333333,2.0145,1.60308333333333,1.21058333333333,0.7995,0.47425,0.37,0.233333333333333,0.140166666666667,0.15375,0.0675,0.0535833333333333,0.0470833333333333,0.0438333333333333,0.02425,0.0169166666666667,0,0,0,0,0,1
2026-08-31 04:00:00,0,1,1,1,736.975,5,20.0166666666667,96.8916666666667,45.425,0.0000000694612416666667,0.0000181817,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,22.73725,25.8414166666667,22.4635833333333,25.82675,1.63833333333333,8245.1675,42,20.9166666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.959416666667,271.882916666667,267.545083333333,272.166916666667,289.905083333333,299.37925,317.469416666667,339.154666666667,358.660083333333,376.948083333333,405.207333333333,440.022583333333,470.240166666667,492.67425,500.025583333333,487.4655,455.779416666667,404.38375,350.99125,289.758,224.884166666667,170.01825,121.666916666667,86.9418333333333,60.4383333333333,42.4575,28.2430833333333,19.0773333333333,13.4096666666667,10.2064166666667,8.51166666666667,7.34308333333333,6.44308333333333,6.926,6.38583333333333,6.062,6.31533333333333,6.18225,6.23541666666667,6.06091666666667,5.86491666666667,5.374,4.79391666666667,4.34275,3.39583333333333,2.69475,1.9275,1.36608333333333,0.92875,0.695,0.4575,0.27875,0.182,0.126833333333333,0.0954166666666667,0.07425,0.0593333333333333,0.0305833333333333,0.0271666666666667,0.0234166666666667,0,0,0,0,0,1
2026-08-31 05:00:00,0,1,1,1,737.141666666667,5,20.1916666666667,96.9416666666667,44.7333333333333,0.0000000694782,0.0000181901,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,21.96225,25.0469166666667,21.885,25.2933333333333,1.63166666666667,12711.0141666667,41,20.975,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.997583333333,475.156083333333,482.334166666667,489.882166666667,506.7125,518.73125,523.72775,550.63425,568.50325,574.751833333333,599.435833333333,631.335833333333,662.86125,684.958916666667,700.364916666667,704.772416666667,683.03575,624.147,544.3705,447.843333333333,344.023833333333,251.401083333333,173.295,119.532833333333,83.0326666666667,58.3295833333333,42.866,31.07025,22.0031666666667,16.4403333333333,13.1395,10.6725833333333,9.34391666666667,8.53016666666667,7.883,7.5895,7.39758333333333,7.07283333333333,7.20883333333333,6.67933333333333,6.26316666666667,5.66191666666667,5.44475,4.92966666666667,4.33708333333333,3.30233333333333,2.62091666666667,1.81766666666667,1.15525,0.831,0.548166666666667,0.288416666666667,0.20075,0.173666666666667,0.14325,0.0946666666666667,0.051,0.0306666666666667,0.0501666666666667,0.00466666666666667,0,0,0,0,0,1
2026-08-31 06:00:00,0,1,1,1,737.616666666667,5,20.75,97.05,46.1583333333333,0.0000000695688166666667,0.000018216875,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,21.5803333333333,25.6174166666667,21.8166666666667,22.4108333333333,1.68766666666667,11865.01,43.8333333333333,21.3416666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501.43825,478.3205,474.434,474.435583333333,484.081083333333,486.933583333333,495.159583333333,516.7645,524.51975,538.5115,549.491583333333,559.520666666667,576.140916666667,599.588583333333,614.324583333333,616.646166666667,600.221333333333,557.260166666667,496.205083333333,412.127583333333,319.612916666667,238.206083333333,171.88525,120.912,86.8718333333333,64.9390833333333,49.16325,36.4029166666667,27.7511666666667,21.7374166666667,16.9299166666667,14.7478333333333,13.0734166666667,12.1518333333333,10.9266666666667,10.4299166666667,10.2098333333333,9.96025,9.30508333333333,9.07458333333333,8.83383333333333,8.60675,7.67233333333333,6.90566666666667,6.10291666666667,5.06858333333333,3.70075,2.60875,1.588,1.07175,0.719583333333333,0.537833333333333,0.328083333333333,0.295916666666667,0.158833333333333,0.152416666666667,0.128,0.0485833333333333,0.0500833333333333,0.0233333333333333,0,0,0,0,0,1
2026-08-31 07:00:00,0,1,1,1,737.4,5,20.3083333333333,97.1583333333333,47.8916666666667,0.0000000693583916666667,0.0000181957,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,18.8766666666667,26.80725,20.9330833333333,11.1043333333333,1.85241666666667,6232.09833333333,44.4166666666667,21.2416666666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.98175,437.082166666667,404.99175,373.736166666667,339.904666666667,315.663,302.437583333333,289.636666666667,283.20975,265.4895,252.264833333333,235.595833333333,218.825666666667,204.784,196.615083333333,184.810083333333,177.127916666667,168.421083333333,157.256666666667,140.991833333333,125.276333333333,108.223,93.2823333333333,78.676,67.0561666666667,54.7011666666667,42.9675,31.2769166666667,22.25,16.7450833333333,13.3530833333333,11.6446666666667,10.8271666666667,9.94391666666667,10.1033333333333,9.59658333333333,9.46525,9.60516666666667,9.68841666666667,9.58908333333333,9.34166666666667,9.30733333333333,8.83725,8.038,6.98516666666667,5.40316666666667,3.89791666666667,2.53525,1.61941666666667,1.02233333333333,0.707333333333333,0.365,0.270833333333333,0.208,0.147416666666667,0.103083333333333,0.0805833333333333,0.0439166666666667,0.0318333333333333,0.0575,0,0,0,0,0,1
2026-08-31 08:00:00,0,1,1,1,737.433333333333,5,20.3083333333333,97.225,49.6916666666667,0.0000000693108166666667,0.0000181957,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,20.8486666666667,33.63825,23.8711666666667,9.647,2.11675,3291.7525,46.5833333333333,21.15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.905666666667,214.496,185.803666666667,164.339,145.89075,136.414916666667,121.961916666667,113.281583333333,104.65475,100.040333333333,95.9889166666667,93.1839166666667,90.8671666666667,93.5148333333333,92.2354166666667,93.1823333333333,94.4055,93.8264166666667,93.0629166666667,89.8794166666667,87.9269166666667,86.4100833333333,81.7075833333333,78.0848333333333,70.1660833333333,62.6176666666667,50.8830833333333,38.9276666666667,29.3619166666667,23.05225,19.13175,17.5141666666667,15.8470833333333,14.9519166666667,13.7696666666667,13.07325,11.9605,11.9295,11.4064166666667,11.5415,11.6909166666667,11.4969166666667,10.6718333333333,10.1290833333333,8.80475,6.77091666666667,5.12066666666667,3.57441666666667,2.22566666666667,1.42758333333333,0.87975,0.636166666666667,0.395083333333333,0.284333333333333,0.146833333333333,0.1195,0.081,0.0528333333333333,0.0228333333333333,0.0233333333333333,0,0,0,0,0,1
2026-08-31 09:00:00,0,1,1,1,737.566666666667,5,20.375,97.3166666666667,51.4083333333333,0.000000069265575,0.0000181989,4.97,8954.6,8.8,736.5,1,254,0,4.37,1.6,8,8,0,1,1,18.1925833333333,32.8514166666667,22.4775833333333,9.70691666666667,2.1745,3633.955,48.1666666666667,21.2333333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.416416666667,297.892916666667,245.391,211.72975,178.183833333333,155.835333333333,136.848583333333,123.35175,111.203,104.118416666667,97.3309166666667,93.33325,90.3070833333333,88.4301666666667,86.7421666666667,84.6404166666667,84.8196666666667,82.7525833333333,82.4385,79.4305833333333,78.0151666666667,76.1430833333333,72.5843333333333,69.84,64.981,58.7676666666667,50.796,42.1254166666667,34.38975,28.5539166666667,25.9935,23.42725,22.37575,20.6923333333333,18.429,16.342,14.8021666666667,13.9040833333333,13.5595833333333,12.7445,12.7074166666667,12.6040833333333,12.5285833333333,11.1575,9.64575,7.99166666666667,6.07883333333333,4.15183333333333,2.83283333333333,1.85408333333333,1.21525,0.86425,0.488666666666667,0.345666666666667,0.298,0.13175,0.132166666666667,0.15425,0.0546666666666667,0.05425,0,0,0,0,0,1
