"date (UTC)","NO2 (ppb)","Flag"
2026-09-21 18:00:00,9.967,0
2026-09-21 18:01:00,8.947,2
2026-09-21 18:02:00,12.918,2
2026-09-21 18:03:00,11.572,0
2026-09-21 18:04:00,13.477,0
2026-09-21 18:05:00,14.282,0
2026-09-21 18:06:00,16.413,0
2026-09-21 18:07:00,19.105,0
2026-09-21 18:08:00,22.034,0
2026-09-21 18:09:00,29.278,0
2026-09-21 18:10:00,33.558,2
2026-09-21 18:11:00,31.499,0
2026-09-21 18:12:00,31.508,0
2026-09-21 18:13:00,32.368,2
2026-09-21 18:14:00,30.691,2
2026-09-21 18:15:00,27.898,0
2026-09-21 18:16:00,26.88,0
2026-09-21 18:17:00,28.478,0
2026-09-21 18:18:00,26.503,0
2026-09-21 18:19:00,25.646,0
2026-09-21 18:20:00,24.378,0
2026-09-21 18:21:00,29.826,0
2026-09-21 18:22:00,26.474,0
2026-09-21 18:23:00,19.001,0
2026-09-21 18:24:00,22.35,0
2026-09-21 18:25:00,19.43,0
2026-09-21 18:26:00,18.6,0
2026-09-21 18:27:00,19.796,0
2026-09-21 18:28:00,22.896,2
2026-09-21 18:29:00,25.318,2
2026-09-21 18:30:00,26.319,0
2026-09-21 18:31:00,26.079,0
2026-09-21 18:32:00,26.079,2
2026-09-21 18:33:00,26.089,0
2026-09-21 18:34:00,25.463,0
2026-09-21 18:35:00,26.496,0
2026-09-21 18:36:00,27.215,0
2026-09-21 18:37:00,26.071,0
2026-09-21 18:38:00,24.934,0
2026-09-21 18:39:00,25.113,0
2026-09-21 18:40:00,24.212,0
2026-09-21 18:41:00,23.763,2
2026-09-21 18:42:00,21.065,0
2026-09-21 18:43:00,23.123,0
2026-09-21 18:44:00,21.234,2
2026-09-21 18:45:00,17.377,2
2026-09-21 18:46:00,18.616,0
2026-09-21 18:47:00,19.186,0
2026-09-21 18:48:00,20.509,0
2026-09-21 18:49:00,21.441,2
2026-09-21 18:50:00,21.104,2
2026-09-21 18:51:00,19.46,0
2026-09-21 18:52:00,20.805,0
2026-09-21 18:53:00,18.757,0
2026-09-21 18:54:00,19.235,0
2026-09-21 18:55:00,16.564,0
2026-09-21 18:56:00,16.3,0
2026-09-21 18:57:00,15.149,2
2026-09-21 18:58:00,16.667,0
2026-09-21 18:59:00,16.28,0
