"date (UTC)","NO2 (ppb)","Flag"
2026-09-18 09:50:00,3.314,0
2026-09-18 09:51:00,3.872,0
2026-09-18 09:52:00,3.056,0
2026-09-18 09:53:00,3.447,0
2026-09-18 09:54:00,4.995,0
2026-09-18 09:55:00,4.484,2
2026-09-18 09:56:00,4.457,0
2026-09-18 09:57:00,4.369,0
2026-09-18 09:58:00,3.986,0
2026-09-18 09:59:00,3.759,0
