"date (UTC)","NO2 (ppb)","Flag"
2026-09-13,3.85,0
2026-09-13 00:01:00,3.98,0
2026-09-13 00:02:00,3.583,0
2026-09-13 00:03:00,3.519,0
2026-09-13 00:04:00,3.398,0
2026-09-13 00:05:00,3.281,0
2026-09-13 00:06:00,2.993,0
2026-09-13 00:07:00,2.971,0
2026-09-13 00:08:00,3.04,0
2026-09-13 00:09:00,2.905,0
2026-09-13 00:10:00,2.742,0
2026-09-13 00:11:00,2.745,0
2026-09-13 00:12:00,2.72,0
2026-09-13 00:13:00,2.817,0
2026-09-13 00:14:00,2.903,0
2026-09-13 00:15:00,2.756,0
2026-09-13 00:16:00,2.776,0
2026-09-13 00:17:00,3.488,0
2026-09-13 00:18:00,2.893,0
2026-09-13 00:19:00,3.139,0
2026-09-13 00:20:00,3.104,0
2026-09-13 00:21:00,3.089,0
2026-09-13 00:22:00,3.711,0
2026-09-13 00:23:00,3.791,0
2026-09-13 00:24:00,3.971,0
2026-09-13 00:25:00,3.765,0
2026-09-13 00:26:00,3.897,0
2026-09-13 00:27:00,3.618,0
2026-09-13 00:28:00,3.766,0
2026-09-13 00:29:00,3.541,1
2026-09-13 00:30:00,3.913,1
2026-09-13 00:31:00,3.845,1
2026-09-13 00:32:00,3.541,1
2026-09-13 00:33:00,3.638,1
2026-09-13 00:34:00,3.418,1
2026-09-13 00:35:00,0.638,1
2026-09-13 00:36:00,0.104,1
2026-09-13 00:37:00,0.148,1
2026-09-13 00:38:00,0.116,1
2026-09-13 00:39:00,0.121,1
2026-09-13 00:40:00,0.15,1
2026-09-13 00:41:00,0.12,1
2026-09-13 00:42:00,0.112,1
2026-09-13 00:43:00,0.155,1
2026-09-13 00:44:00,0.123,1
2026-09-13 00:45:00,0.146,1
2026-09-13 00:46:00,0.149,1
2026-09-13 00:47:00,0.124,1
2026-09-13 00:48:00,0.124,1
2026-09-13 00:49:00,0.145,1
2026-09-13 00:50:00,682.214,1
2026-09-13 00:51:00,673.525,1
2026-09-13 00:52:00,672.523,1
2026-09-13 00:53:00,673.211,1
2026-09-13 00:54:00,672.942,1
2026-09-13 00:55:00,671.777,1
2026-09-13 00:56:00,671.995,1
2026-09-13 00:57:00,671.822,1
2026-09-13 00:58:00,672.105,1
2026-09-13 00:59:00,672.19,1
