"date (UTC)","O3 (ppb)","Flag"
2026-07-01 11:00:00,22.09,0
2026-07-01 11:01:00,21.97,0
2026-07-01 11:02:00,21.25,0
2026-07-01 11:03:00,20.43,0
2026-07-01 11:04:00,20.68,0
2026-07-01 11:05:00,20.48,0
2026-07-01 11:06:00,22.17,0
2026-07-01 11:07:00,22.27,0
2026-07-01 11:08:00,22.14,0
2026-07-01 11:09:00,21.92,0
2026-07-01 11:10:00,21.96,0
2026-07-01 11:11:00,21.47,0
2026-07-01 11:12:00,21.76,0
2026-07-01 11:13:00,21.32,0
2026-07-01 11:14:00,21.57,0
2026-07-01 11:15:00,21.41,0
2026-07-01 11:16:00,21.35,0
2026-07-01 11:17:00,20.99,0
2026-07-01 11:18:00,21.52,0
2026-07-01 11:19:00,20.69,0
2026-07-01 11:20:00,21.86,0
2026-07-01 11:21:00,22.65,0
2026-07-01 11:22:00,21.76,0
2026-07-01 11:23:00,21.26,0
2026-07-01 11:24:00,20.75,0
2026-07-01 11:25:00,21.16,0
2026-07-01 11:26:00,22.04,0
2026-07-01 11:27:00,22.35,0
2026-07-01 11:28:00,22.39,0
2026-07-01 11:29:00,22.98,0
2026-07-01 11:30:00,22.99,0
2026-07-01 11:31:00,22.72,0
2026-07-01 11:32:00,20.29,0
2026-07-01 11:33:00,20.74,0
2026-07-01 11:34:00,21,0
2026-07-01 11:35:00,23.53,0
2026-07-01 11:36:00,23.53,0
2026-07-01 11:37:00,23.97,0
2026-07-01 11:38:00,22.57,0
2026-07-01 11:39:00,23.7,0
2026-07-01 11:40:00,23.99,0
2026-07-01 11:41:00,23.97,0
2026-07-01 11:42:00,23.17,0
2026-07-01 11:43:00,24.26,0
2026-07-01 11:44:00,23.49,0
2026-07-01 11:45:00,21.68,0
2026-07-01 11:46:00,20.07,0
2026-07-01 11:47:00,17.9,0
2026-07-01 11:48:00,20.9,0
2026-07-01 11:49:00,23.44,0
2026-07-01 11:50:00,23.7,0
2026-07-01 11:51:00,23.96,0
2026-07-01 11:52:00,23.36,0
2026-07-01 11:53:00,23.82,0
2026-07-01 11:54:00,23.1,0
2026-07-01 11:55:00,23.37,0
2026-07-01 11:56:00,24.21,0
2026-07-01 11:57:00,24.58,0
2026-07-01 11:58:00,23.9,0
2026-07-01 11:59:00,23.05,0
