"date (UTC)","O3 (ppb)","Flag"
2026-07-12 09:00:00,28.06,0
2026-07-12 09:01:00,27.69,0
2026-07-12 09:02:00,27.48,0
2026-07-12 09:03:00,27.37,0
2026-07-12 09:04:00,27.61,0
2026-07-12 09:05:00,27.6,0
2026-07-12 09:06:00,28.02,0
2026-07-12 09:07:00,28.16,0
2026-07-12 09:08:00,28.14,0
2026-07-12 09:09:00,27.85,0
2026-07-12 09:10:00,27.48,0
2026-07-12 09:11:00,27.22,0
2026-07-12 09:12:00,27.87,0
2026-07-12 09:13:00,27.92,0
2026-07-12 09:14:00,27.62,0
2026-07-12 09:15:00,27.96,0
2026-07-12 09:16:00,27.8,0
2026-07-12 09:17:00,27.8,0
2026-07-12 09:18:00,27.75,0
2026-07-12 09:19:00,27.96,0
2026-07-12 09:20:00,28.09,0
2026-07-12 09:21:00,27.92,0
2026-07-12 09:22:00,27.79,0
2026-07-12 09:23:00,27.68,0
2026-07-12 09:24:00,28.41,0
2026-07-12 09:25:00,27.97,0
2026-07-12 09:26:00,27.94,0
2026-07-12 09:27:00,28.08,0
2026-07-12 09:28:00,28.95,0
2026-07-12 09:29:00,28.69,0
2026-07-12 09:30:00,28.74,0
2026-07-12 09:31:00,28.47,0
2026-07-12 09:32:00,28.5,0
2026-07-12 09:33:00,27.92,0
2026-07-12 09:34:00,28.26,0
2026-07-12 09:35:00,28.55,0
2026-07-12 09:36:00,28.86,0
2026-07-12 09:37:00,28.85,0
2026-07-12 09:38:00,28.85,0
2026-07-12 09:39:00,28.96,0
2026-07-12 09:40:00,29.15,0
2026-07-12 09:41:00,29.02,0
2026-07-12 09:42:00,29.22,0
2026-07-12 09:43:00,28.98,0
2026-07-12 09:44:00,28.58,0
2026-07-12 09:45:00,28.69,0
2026-07-12 09:46:00,29.12,0
2026-07-12 09:47:00,29.03,0
2026-07-12 09:48:00,29.03,0
2026-07-12 09:49:00,29.47,0
2026-07-12 09:50:00,29.16,0
2026-07-12 09:51:00,29.57,0
2026-07-12 09:52:00,29.38,0
2026-07-12 09:53:00,29.21,0
2026-07-12 09:54:00,29.42,0
2026-07-12 09:55:00,29.04,0
2026-07-12 09:56:00,29.19,0
2026-07-12 09:57:00,29.26,0
2026-07-12 09:58:00,29.75,0
2026-07-12 09:59:00,29.72,0
