"date (UTC)","O3 (ppb)","Flag"
2026-07-19 20:00:00,36.56,0
2026-07-19 20:01:00,35.93,0
2026-07-19 20:02:00,36.08,0
2026-07-19 20:03:00,36.26,0
2026-07-19 20:04:00,36.44,0
2026-07-19 20:05:00,36.83,0
2026-07-19 20:06:00,37.57,0
2026-07-19 20:07:00,36.61,0
2026-07-19 20:08:00,36.61,0
2026-07-19 20:09:00,37.51,0
2026-07-19 20:10:00,37.07,0
2026-07-19 20:11:00,37.29,0
2026-07-19 20:12:00,37.29,0
2026-07-19 20:13:00,36.78,0
2026-07-19 20:14:00,36.89,0
2026-07-19 20:15:00,36.73,0
2026-07-19 20:16:00,36.66,0
2026-07-19 20:17:00,36.58,0
2026-07-19 20:18:00,35.57,0
2026-07-19 20:19:00,37.48,0
2026-07-19 20:20:00,37.33,0
2026-07-19 20:21:00,36.75,0
2026-07-19 20:22:00,36.6,0
2026-07-19 20:23:00,36.27,0
2026-07-19 20:24:00,35.77,0
2026-07-19 20:25:00,35.41,0
2026-07-19 20:26:00,35.94,0
2026-07-19 20:27:00,35.86,0
2026-07-19 20:28:00,35.28,0
2026-07-19 20:29:00,35.96,0
2026-07-19 20:30:00,36.91,0
2026-07-19 20:31:00,35.97,0
2026-07-19 20:32:00,36.27,0
2026-07-19 20:33:00,35.59,0
2026-07-19 20:34:00,36.69,0
2026-07-19 20:35:00,35.21,0
2026-07-19 20:36:00,35.73,0
2026-07-19 20:37:00,34.99,0
2026-07-19 20:38:00,35.18,0
2026-07-19 20:39:00,35.79,0
2026-07-19 20:40:00,35.75,0
2026-07-19 20:41:00,35.59,0
2026-07-19 20:42:00,34.91,0
2026-07-19 20:43:00,34.48,0
2026-07-19 20:44:00,34.89,0
2026-07-19 20:45:00,35.16,0
2026-07-19 20:46:00,35.52,0
2026-07-19 20:47:00,36.06,0
2026-07-19 20:48:00,35.84,0
2026-07-19 20:49:00,35.99,0
2026-07-19 20:50:00,35.3,0
2026-07-19 20:51:00,34.86,0
2026-07-19 20:52:00,35.67,0
2026-07-19 20:53:00,35.66,0
2026-07-19 20:54:00,35.65,0
2026-07-19 20:55:00,34.21,0
2026-07-19 20:56:00,33.01,0
2026-07-19 20:57:00,33.61,0
2026-07-19 20:58:00,33.5,0
2026-07-19 20:59:00,32.8,0
