"date (UTC)","O3 (ppb)","Flag"
2026-06-25 12:00:00,57.67,0
2026-06-25 12:01:00,57.11,0
2026-06-25 12:02:00,56.55,0
2026-06-25 12:03:00,55.08,0
2026-06-25 12:04:00,56.12,0
2026-06-25 12:05:00,56.09,0
2026-06-25 12:06:00,56.67,0
2026-06-25 12:07:00,55.7,0
2026-06-25 12:08:00,56.2,0
2026-06-25 12:09:00,57.71,0
2026-06-25 12:10:00,56.04,0
2026-06-25 12:11:00,56.56,0
2026-06-25 12:12:00,55.57,0
2026-06-25 12:13:00,56.3,0
2026-06-25 12:14:00,56.36,0
2026-06-25 12:15:00,56.39,0
2026-06-25 12:16:00,55.68,0
2026-06-25 12:17:00,55.51,0
2026-06-25 12:18:00,55.83,0
2026-06-25 12:19:00,55.8,0
2026-06-25 12:20:00,55.96,0
2026-06-25 12:21:00,55.66,0
2026-06-25 12:22:00,55.23,0
2026-06-25 12:23:00,56.1,0
2026-06-25 12:24:00,56.33,0
2026-06-25 12:25:00,56.94,0
2026-06-25 12:26:00,56.94,0
2026-06-25 12:27:00,55.87,0
2026-06-25 12:28:00,55.36,0
2026-06-25 12:29:00,55.97,0
2026-06-25 12:30:00,56.08,0
2026-06-25 12:31:00,55.48,0
2026-06-25 12:32:00,55.53,0
2026-06-25 12:33:00,57.68,0
2026-06-25 12:34:00,57.75,0
2026-06-25 12:35:00,56.71,0
2026-06-25 12:36:00,56.74,0
2026-06-25 12:37:00,56.46,0
2026-06-25 12:38:00,55.95,0
2026-06-25 12:39:00,57.33,0
2026-06-25 12:40:00,56.59,0
2026-06-25 12:41:00,55.99,0
2026-06-25 12:42:00,56.76,0
2026-06-25 12:43:00,57.05,0
2026-06-25 12:44:00,57.04,0
2026-06-25 12:45:00,57.46,0
2026-06-25 12:46:00,56.59,0
2026-06-25 12:47:00,57.02,0
2026-06-25 12:48:00,57.43,0
2026-06-25 12:49:00,59.26,0
2026-06-25 12:50:00,58.15,0
2026-06-25 12:51:00,57.95,0
2026-06-25 12:52:00,58.44,0
2026-06-25 12:53:00,58.46,0
2026-06-25 12:54:00,57.39,0
2026-06-25 12:55:00,57.67,0
2026-06-25 12:56:00,57.69,0
2026-06-25 12:57:00,58.01,0
2026-06-25 12:58:00,57.36,0
2026-06-25 12:59:00,57.52,0
