"date (UTC)","O3 (ppb)","Flag"
2026-06-06 19:00:00,23.19,0
2026-06-06 19:01:00,21.9,0
2026-06-06 19:02:00,22.62,0
2026-06-06 19:03:00,19.48,0
2026-06-06 19:04:00,20.66,0
2026-06-06 19:05:00,19.27,0
2026-06-06 19:06:00,17.65,0
2026-06-06 19:07:00,17.93,0
2026-06-06 19:08:00,17.79,0
2026-06-06 19:09:00,17.07,0
2026-06-06 19:10:00,20.06,0
2026-06-06 19:11:00,19.63,0
2026-06-06 19:12:00,20.09,0
2026-06-06 19:13:00,16.81,0
2026-06-06 19:14:00,21.25,0
2026-06-06 19:15:00,20.26,0
2026-06-06 19:16:00,21.1,0
2026-06-06 19:17:00,20.98,0
2026-06-06 19:18:00,23.55,0
2026-06-06 19:19:00,24.47,0
2026-06-06 19:20:00,23.42,0
2026-06-06 19:21:00,22.94,0
2026-06-06 19:22:00,25.07,0
2026-06-06 19:23:00,24.69,0
2026-06-06 19:24:00,25.11,0
2026-06-06 19:25:00,25.03,0
2026-06-06 19:26:00,26.44,0
2026-06-06 19:27:00,26.72,0
2026-06-06 19:28:00,23.98,0
2026-06-06 19:29:00,24.53,0
2026-06-06 19:30:00,26.27,0
2026-06-06 19:31:00,26.55,0
2026-06-06 19:32:00,26.8,0
2026-06-06 19:33:00,25.58,0
2026-06-06 19:34:00,25.48,0
2026-06-06 19:35:00,23.11,0
2026-06-06 19:36:00,21.07,0
2026-06-06 19:37:00,17.74,0
2026-06-06 19:38:00,19.7,0
2026-06-06 19:39:00,24.72,0
2026-06-06 19:40:00,23.26,0
2026-06-06 19:41:00,23.46,0
2026-06-06 19:42:00,23.79,0
2026-06-06 19:43:00,21.16,0
2026-06-06 19:44:00,20.05,0
2026-06-06 19:45:00,20.38,0
2026-06-06 19:46:00,21.67,0
2026-06-06 19:47:00,23.5,0
2026-06-06 19:48:00,23.75,0
2026-06-06 19:49:00,22.81,0
2026-06-06 19:50:00,24.1,0
2026-06-06 19:51:00,25.36,0
2026-06-06 19:52:00,26.57,0
2026-06-06 19:53:00,26.57,0
2026-06-06 19:54:00,24.84,0
2026-06-06 19:55:00,25.64,0
2026-06-06 19:56:00,25.99,0
2026-06-06 19:57:00,25.46,0
2026-06-06 19:58:00,26.73,0
2026-06-06 19:59:00,24.7,0
