"date (UTC)","O3 (ppb)","Flag"
2026-06-11 18:00:00,5.096,0
2026-06-11 18:01:00,3.658,0
2026-06-11 18:02:00,3.848,0
2026-06-11 18:03:00,4.81,0
2026-06-11 18:04:00,3.134,0
2026-06-11 18:05:00,5.575,0
2026-06-11 18:06:00,5.969,0
2026-06-11 18:07:00,5.081,0
2026-06-11 18:08:00,3.352,0
2026-06-11 18:09:00,6.543,0
2026-06-11 18:10:00,6.833,0
2026-06-11 18:11:00,6.848,0
2026-06-11 18:12:00,6.867,0
2026-06-11 18:13:00,5.637,0
2026-06-11 18:14:00,5.9,0
2026-06-11 18:15:00,6.567,0
2026-06-11 18:16:00,7.514,0
2026-06-11 18:17:00,6.556,0
2026-06-11 18:18:00,7.017,0
2026-06-11 18:19:00,6.949,0
2026-06-11 18:20:00,6.081,0
2026-06-11 18:21:00,6.538,0
2026-06-11 18:22:00,5.534,0
2026-06-11 18:23:00,7.603,0
2026-06-11 18:24:00,6.193,0
2026-06-11 18:25:00,5.637,0
2026-06-11 18:26:00,4.557,0
2026-06-11 18:27:00,6.038,0
2026-06-11 18:28:00,7.722,0
2026-06-11 18:29:00,7.354,0
2026-06-11 18:30:00,9,0
2026-06-11 18:31:00,6.941,0
2026-06-11 18:32:00,7.197,0
2026-06-11 18:33:00,5.632,0
2026-06-11 18:34:00,5.809,0
2026-06-11 18:35:00,9.419,0
2026-06-11 18:36:00,9.075,0
2026-06-11 18:37:00,8.259,0
2026-06-11 18:38:00,6.861,0
2026-06-11 18:39:00,6.169,0
2026-06-11 18:40:00,8.456,0
2026-06-11 18:41:00,9.117,0
2026-06-11 18:42:00,8.694,0
2026-06-11 18:43:00,4.688,0
2026-06-11 18:44:00,5.886,0
2026-06-11 18:45:00,4.772,0
2026-06-11 18:46:00,6.523,0
2026-06-11 18:47:00,5.339,0
2026-06-11 18:48:00,5.124,0
2026-06-11 18:49:00,2.036,0
2026-06-11 18:50:00,2.289,0
2026-06-11 18:51:00,3.771,0
2026-06-11 18:52:00,2.638,0
2026-06-11 18:53:00,1.07,0
2026-06-11 18:54:00,2.74,0
2026-06-11 18:55:00,1.803,0
2026-06-11 18:56:00,1.059,0
2026-06-11 18:57:00,3.588,0
2026-06-11 18:58:00,8.238,0
2026-06-11 18:59:00,10.78,0
