"date (UTC)","O3 (ppb)","Flag"
2026-06-15 15:00:00,29.87,0
2026-06-15 15:01:00,29.1,0
2026-06-15 15:02:00,29.93,0
2026-06-15 15:03:00,29.96,0
2026-06-15 15:04:00,29.69,0
2026-06-15 15:05:00,29.91,0
2026-06-15 15:06:00,29.84,0
2026-06-15 15:07:00,29.7,0
2026-06-15 15:08:00,29.3,0
2026-06-15 15:09:00,28.64,0
2026-06-15 15:10:00,30.39,0
2026-06-15 15:11:00,29.97,0
2026-06-15 15:12:00,29.62,0
2026-06-15 15:13:00,28.51,0
2026-06-15 15:14:00,28.61,0
2026-06-15 15:15:00,29.56,0
2026-06-15 15:16:00,29.94,0
2026-06-15 15:17:00,30.27,0
2026-06-15 15:18:00,28.95,0
2026-06-15 15:19:00,28.81,0
2026-06-15 15:20:00,29.16,0
2026-06-15 15:21:00,29.88,0
2026-06-15 15:22:00,29.21,0
2026-06-15 15:23:00,28.44,0
2026-06-15 15:24:00,29.07,0
2026-06-15 15:25:00,28.65,0
2026-06-15 15:26:00,28.7,0
2026-06-15 15:27:00,29.55,0
2026-06-15 15:28:00,29.25,0
2026-06-15 15:29:00,28.89,0
2026-06-15 15:30:00,27.44,0
2026-06-15 15:31:00,30.25,0
2026-06-15 15:32:00,29.53,0
2026-06-15 15:33:00,29.43,0
2026-06-15 15:34:00,29.58,0
2026-06-15 15:35:00,29.37,0
2026-06-15 15:36:00,28.28,0
2026-06-15 15:37:00,29.13,0
2026-06-15 15:38:00,30.75,0
2026-06-15 15:39:00,30.31,0
2026-06-15 15:40:00,30.04,0
2026-06-15 15:41:00,30.25,0
2026-06-15 15:42:00,28.86,0
2026-06-15 15:43:00,28.44,0
2026-06-15 15:44:00,29.17,0
2026-06-15 15:45:00,28.8,0
2026-06-15 15:46:00,28.94,0
2026-06-15 15:47:00,29.6,0
2026-06-15 15:48:00,28.8,0
2026-06-15 15:49:00,29.44,0
2026-06-15 15:50:00,29.33,0
2026-06-15 15:51:00,30.02,0
2026-06-15 15:52:00,30.35,0
2026-06-15 15:53:00,30.37,0
2026-06-15 15:54:00,29.83,0
2026-06-15 15:55:00,28.99,0
2026-06-15 15:56:00,28.79,0
2026-06-15 15:57:00,28.65,0
2026-06-15 15:58:00,28.73,0
2026-06-15 15:59:00,29.45,0
