"date (UTC)","SO2 (ppb)","Flag"
2026-06-12 18:00:00,0.129,0
2026-06-12 18:01:00,0.139,0
2026-06-12 18:02:00,0.167,0
2026-06-12 18:03:00,0.216,0
2026-06-12 18:04:00,0.245,0
2026-06-12 18:05:00,0.275,0
2026-06-12 18:06:00,0.238,0
2026-06-12 18:07:00,0.164,0
2026-06-12 18:08:00,0.127,0
2026-06-12 18:09:00,0.099,0
2026-06-12 18:10:00,0.114,0
2026-06-12 18:11:00,0.146,0
2026-06-12 18:12:00,0.165,0
2026-06-12 18:13:00,0.198,0
2026-06-12 18:14:00,0.222,0
2026-06-12 18:15:00,0.255,1
2026-06-12 18:16:00,0.253,0
2026-06-12 18:17:00,0.238,0
2026-06-12 18:18:00,0.254,0
2026-06-12 18:19:00,0.237,0
2026-06-12 18:20:00,0.228,0
2026-06-12 18:21:00,0.219,0
2026-06-12 18:22:00,0.24,0
2026-06-12 18:23:00,0.27,0
2026-06-12 18:24:00,0.267,0
2026-06-12 18:25:00,0.274,0
2026-06-12 18:26:00,0.215,0
2026-06-12 18:27:00,0.155,0
2026-06-12 18:28:00,0.085,0
2026-06-12 18:29:00,0.089,0
2026-06-12 18:30:00,0.095,0
2026-06-12 18:31:00,0.088,1
2026-06-12 18:32:00,0.102,0
2026-06-12 18:33:00,0.105,0
2026-06-12 18:34:00,0.064,0
2026-06-12 18:35:00,0.053,0
2026-06-12 18:36:00,0.076,0
2026-06-12 18:37:00,0.069,1
2026-06-12 18:38:00,0.052,0
2026-06-12 18:39:00,0.046,0
2026-06-12 18:40:00,0.064,0
2026-06-12 18:41:00,0.087,0
2026-06-12 18:42:00,0.138,0
2026-06-12 18:43:00,0.179,0
2026-06-12 18:44:00,0.219,1
2026-06-12 18:45:00,0.185,0
2026-06-12 18:46:00,0.159,0
2026-06-12 18:47:00,0.182,0
2026-06-12 18:48:00,0.197,0
2026-06-12 18:49:00,0.191,0
2026-06-12 18:50:00,0.197,0
2026-06-12 18:51:00,0.17,0
2026-06-12 18:52:00,0.145,0
2026-06-12 18:53:00,0.114,0
2026-06-12 18:54:00,0.113,0
2026-06-12 18:55:00,0.072,0
2026-06-12 18:56:00,0.03,0
2026-06-12 18:57:00,-0.013,0
2026-06-12 18:58:00,-0.028,0
2026-06-12 18:59:00,-0.032,1
