"date (UTC)","SO2 (ppb)","Flag"
2026-06-16 16:00:00,0.44,0
2026-06-16 16:01:00,0.433,1
2026-06-16 16:02:00,0.435,1
2026-06-16 16:03:00,0.445,0
2026-06-16 16:04:00,0.468,0
2026-06-16 16:05:00,0.455,0
2026-06-16 16:06:00,0.476,0
2026-06-16 16:07:00,0.471,0
2026-06-16 16:08:00,0.434,0
2026-06-16 16:09:00,0.405,0
2026-06-16 16:10:00,0.392,0
2026-06-16 16:11:00,0.353,0
2026-06-16 16:12:00,0.325,0
2026-06-16 16:13:00,0.292,0
2026-06-16 16:14:00,0.267,0
2026-06-16 16:15:00,0.277,0
2026-06-16 16:16:00,0.309,0
2026-06-16 16:17:00,0.324,0
2026-06-16 16:18:00,0.375,0
2026-06-16 16:19:00,0.404,0
2026-06-16 16:20:00,0.372,0
2026-06-16 16:21:00,0.386,0
2026-06-16 16:22:00,0.385,0
2026-06-16 16:23:00,0.402,0
2026-06-16 16:24:00,0.43,0
2026-06-16 16:25:00,0.437,0
2026-06-16 16:26:00,0.437,0
2026-06-16 16:27:00,0.444,0
2026-06-16 16:28:00,0.474,0
2026-06-16 16:29:00,0.518,0
2026-06-16 16:30:00,0.52,0
2026-06-16 16:31:00,0.5,0
2026-06-16 16:32:00,0.47,0
2026-06-16 16:33:00,0.445,0
2026-06-16 16:34:00,0.387,0
2026-06-16 16:35:00,0.349,0
2026-06-16 16:36:00,0.355,0
2026-06-16 16:37:00,0.333,0
2026-06-16 16:38:00,0.318,0
2026-06-16 16:39:00,0.294,0
2026-06-16 16:40:00,0.308,0
2026-06-16 16:41:00,0.328,0
2026-06-16 16:42:00,0.338,0
2026-06-16 16:43:00,0.314,0
2026-06-16 16:44:00,0.248,0
2026-06-16 16:45:00,0.239,0
2026-06-16 16:46:00,0.224,0
2026-06-16 16:47:00,0.199,0
2026-06-16 16:48:00,0.158,0
2026-06-16 16:49:00,0.12,0
2026-06-16 16:50:00,0.103,0
2026-06-16 16:51:00,0.086,0
2026-06-16 16:52:00,0.103,0
2026-06-16 16:53:00,0.121,0
2026-06-16 16:54:00,0.131,0
2026-06-16 16:55:00,0.099,0
2026-06-16 16:56:00,0.088,0
2026-06-16 16:57:00,0.067,0
2026-06-16 16:58:00,0.049,0
2026-06-16 16:59:00,0.068,0
