"date (UTC)","O3 (ppb)","Flag"
2026-09-03 12:00:00,29.14,0
2026-09-03 12:01:00,28.86,0
2026-09-03 12:02:00,28.19,0
2026-09-03 12:03:00,28.01,0
2026-09-03 12:04:00,28.53,0
2026-09-03 12:05:00,28.94,0
2026-09-03 12:06:00,25.08,0
2026-09-03 12:07:00,25.78,0
2026-09-03 12:08:00,25.71,0
2026-09-03 12:09:00,26.17,0
2026-09-03 12:10:00,26.44,0
2026-09-03 12:11:00,27.8,0
2026-09-03 12:12:00,27.16,0
2026-09-03 12:13:00,25.55,0
2026-09-03 12:14:00,24.08,0
2026-09-03 12:15:00,27.24,0
2026-09-03 12:16:00,27.67,0
2026-09-03 12:17:00,27.76,0
2026-09-03 12:18:00,27.91,0
2026-09-03 12:19:00,28.15,0
2026-09-03 12:20:00,28.66,0
2026-09-03 12:21:00,28.79,0
2026-09-03 12:22:00,27.88,0
2026-09-03 12:23:00,28.2,0
2026-09-03 12:24:00,28.78,0
2026-09-03 12:25:00,29.15,0
2026-09-03 12:26:00,27.88,0
2026-09-03 12:27:00,26.59,0
2026-09-03 12:28:00,27.76,0
2026-09-03 12:29:00,25.42,0
2026-09-03 12:30:00,21.4,0
2026-09-03 12:31:00,24.77,0
2026-09-03 12:32:00,28.45,0
2026-09-03 12:33:00,27.17,0
2026-09-03 12:34:00,27.99,0
2026-09-03 12:35:00,27.71,0
2026-09-03 12:36:00,29.53,0
2026-09-03 12:37:00,28.9,0
2026-09-03 12:38:00,29.36,0
2026-09-03 12:39:00,28.99,0
2026-09-03 12:40:00,29.57,0
2026-09-03 12:41:00,29.22,0
2026-09-03 12:42:00,28.43,0
2026-09-03 12:43:00,27.57,0
2026-09-03 12:44:00,28.77,0
2026-09-03 12:45:00,29.08,0
2026-09-03 12:46:00,29.04,0
2026-09-03 12:47:00,30.05,0
2026-09-03 12:48:00,30.14,0
2026-09-03 12:49:00,30.36,0
2026-09-03 12:50:00,27.34,0
2026-09-03 12:51:00,28.83,0
2026-09-03 12:52:00,28.75,0
2026-09-03 12:53:00,28.97,0
2026-09-03 12:54:00,28.86,0
2026-09-03 12:55:00,29.48,0
2026-09-03 12:56:00,29.45,0
2026-09-03 12:57:00,29.69,0
2026-09-03 12:58:00,29.24,0
2026-09-03 12:59:00,29.53,0
