"date (UTC)","O3 (ppb)","Flag"
2026-09-01 20:00:00,23.64,0
2026-09-01 20:01:00,23.29,0
2026-09-01 20:02:00,23.93,0
2026-09-01 20:03:00,21.56,0
2026-09-01 20:04:00,23.21,0
2026-09-01 20:05:00,24.05,0
2026-09-01 20:06:00,23.32,0
2026-09-01 20:07:00,22.73,0
2026-09-01 20:08:00,21.34,0
2026-09-01 20:09:00,23.15,0
2026-09-01 20:10:00,22.33,0
2026-09-01 20:11:00,20.66,0
2026-09-01 20:12:00,21.37,0
2026-09-01 20:13:00,20.86,0
2026-09-01 20:14:00,21.08,0
2026-09-01 20:15:00,20.34,0
2026-09-01 20:16:00,21.43,0
2026-09-01 20:17:00,20.27,0
2026-09-01 20:18:00,20.03,0
2026-09-01 20:19:00,21.77,0
2026-09-01 20:20:00,21.03,0
2026-09-01 20:21:00,20.15,0
2026-09-01 20:22:00,21.17,0
2026-09-01 20:23:00,19.84,0
2026-09-01 20:24:00,19.57,0
2026-09-01 20:25:00,21.39,0
2026-09-01 20:26:00,19.34,0
2026-09-01 20:27:00,15.84,0
2026-09-01 20:28:00,20.04,0
2026-09-01 20:29:00,20.72,0
2026-09-01 20:30:00,21.57,0
2026-09-01 20:31:00,24.4,0
2026-09-01 20:32:00,24.27,0
2026-09-01 20:33:00,19.78,0
2026-09-01 20:34:00,15.76,0
2026-09-01 20:35:00,17.6,0
2026-09-01 20:36:00,18.08,0
2026-09-01 20:37:00,9.57,0
2026-09-01 20:38:00,8.004,0
2026-09-01 20:39:00,16.48,0
2026-09-01 20:40:00,15.65,0
2026-09-01 20:41:00,20.55,0
2026-09-01 20:42:00,15.05,0
2026-09-01 20:43:00,17.87,0
2026-09-01 20:44:00,18.49,0
2026-09-01 20:45:00,20.13,0
2026-09-01 20:46:00,19.81,0
2026-09-01 20:47:00,18.24,0
2026-09-01 20:48:00,22.58,0
2026-09-01 20:49:00,22.47,0
2026-09-01 20:50:00,21.61,0
2026-09-01 20:51:00,15.93,0
2026-09-01 20:52:00,17.13,0
2026-09-01 20:53:00,14.83,0
2026-09-01 20:54:00,13,0
2026-09-01 20:55:00,16.13,0
2026-09-01 20:56:00,23.89,0
2026-09-01 20:57:00,20.87,0
2026-09-01 20:58:00,19.92,0
2026-09-01 20:59:00,18.92,0
