"date (UTC)","O3 (ppb)","Flag"
2026-09-03 14:00:00,30.84,0
2026-09-03 14:01:00,29.87,0
2026-09-03 14:02:00,29.57,0
2026-09-03 14:03:00,29.43,0
2026-09-03 14:04:00,27.22,0
2026-09-03 14:05:00,28.25,0
2026-09-03 14:06:00,27.01,0
2026-09-03 14:07:00,27.29,0
2026-09-03 14:08:00,28.06,0
2026-09-03 14:09:00,28.61,0
2026-09-03 14:10:00,28.71,0
2026-09-03 14:11:00,26.23,0
2026-09-03 14:12:00,27.17,0
2026-09-03 14:13:00,29.11,0
2026-09-03 14:14:00,29.38,0
2026-09-03 14:15:00,29.38,0
2026-09-03 14:16:00,28.51,0
2026-09-03 14:17:00,29.9,0
2026-09-03 14:18:00,29.7,0
2026-09-03 14:19:00,29.37,0
2026-09-03 14:20:00,29.75,0
2026-09-03 14:21:00,29.07,0
2026-09-03 14:22:00,28.38,0
2026-09-03 14:23:00,27.85,0
2026-09-03 14:24:00,28.65,0
2026-09-03 14:25:00,29.08,0
2026-09-03 14:26:00,27.92,0
2026-09-03 14:27:00,27.37,0
2026-09-03 14:28:00,28.26,0
2026-09-03 14:29:00,26.43,0
2026-09-03 14:30:00,28.48,0
2026-09-03 14:31:00,28.04,0
2026-09-03 14:32:00,28.06,0
2026-09-03 14:33:00,28.17,0
2026-09-03 14:34:00,28.49,0
2026-09-03 14:35:00,27.19,0
2026-09-03 14:36:00,27.9,0
2026-09-03 14:37:00,27.59,0
2026-09-03 14:38:00,26.76,0
2026-09-03 14:39:00,26.47,0
2026-09-03 14:40:00,26.91,0
2026-09-03 14:41:00,27.12,0
2026-09-03 14:42:00,23.88,0
2026-09-03 14:43:00,23.99,0
2026-09-03 14:44:00,24.17,0
2026-09-03 14:45:00,22.81,0
2026-09-03 14:46:00,23.51,0
2026-09-03 14:47:00,25.97,0
2026-09-03 14:48:00,27.74,0
2026-09-03 14:49:00,27.8,0
2026-09-03 14:50:00,27.41,0
2026-09-03 14:51:00,26.72,0
2026-09-03 14:52:00,27.85,0
2026-09-03 14:53:00,27.71,0
2026-09-03 14:54:00,27.46,0
2026-09-03 14:55:00,26.98,0
2026-09-03 14:56:00,25.47,0
2026-09-03 14:57:00,27.39,0
2026-09-03 14:58:00,26.33,0
2026-09-03 14:59:00,28.17,0
