"date (UTC+0)","NO (ppb)","NO (ppb)y","Flag"
2026-06-22 16:00:00,0.161,1.268,0
2026-06-22 16:01:00,0.17,1.258,2
2026-06-22 16:02:00,0.152,1.262,2
2026-06-22 16:03:00,0.148,1.275,0
2026-06-22 16:04:00,0.151,1.305,2
2026-06-22 16:05:00,0.146,1.317,2
2026-06-22 16:06:00,0.143,1.315,0
2026-06-22 16:07:00,0.139,1.346,0
2026-06-22 16:08:00,0.142,1.351,2
2026-06-22 16:09:00,0.142,1.35,0
2026-06-22 16:10:00,0.161,1.336,0
2026-06-22 16:11:00,0.178,1.301,2
2026-06-22 16:12:00,0.177,1.27,2
2026-06-22 16:13:00,0.194,1.275,2
2026-06-22 16:14:00,0.185,1.234,2
2026-06-22 16:15:00,0.197,1.229,2
2026-06-22 16:16:00,0.214,1.235,0
2026-06-22 16:17:00,0.216,1.23,0
2026-06-22 16:18:00,0.21,1.244,2
2026-06-22 16:19:00,0.199,1.23,0
2026-06-22 16:20:00,0.183,1.224,0
2026-06-22 16:21:00,0.163,1.184,2
2026-06-22 16:22:00,0.155,1.164,2
2026-06-22 16:23:00,0.156,1.181,0
2026-06-22 16:24:00,0.13,1.2,2
2026-06-22 16:25:00,0.114,1.236,2
2026-06-22 16:26:00,0.113,1.269,0
2026-06-22 16:27:00,0.099,1.276,0
2026-06-22 16:28:00,0.108,1.278,0
2026-06-22 16:29:00,0.096,1.304,2
2026-06-22 16:30:00,0.099,1.325,0
2026-06-22 16:31:00,0.109,1.32,0
2026-06-22 16:32:00,0.108,1.273,2
2026-06-22 16:33:00,0.109,1.268,0
2026-06-22 16:34:00,0.101,1.219,0
2026-06-22 16:35:00,0.096,1.157,2
2026-06-22 16:36:00,0.08,1.152,0
2026-06-22 16:37:00,0.067,1.172,0
2026-06-22 16:38:00,0.055,1.162,0
2026-06-22 16:39:00,0.061,1.147,2
2026-06-22 16:40:00,0.053,1.156,2
2026-06-22 16:41:00,0.05,1.179,0
2026-06-22 16:42:00,0.05,1.196,2
2026-06-22 16:43:00,0.053,1.226,0
2026-06-22 16:44:00,0.059,1.244,0
2026-06-22 16:45:00,0.074,1.289,0
2026-06-22 16:46:00,0.08,1.32,2
2026-06-22 16:47:00,0.092,1.388,0
2026-06-22 16:48:00,0.079,1.463,0
2026-06-22 16:49:00,0.079,1.533,2
2026-06-22 16:50:00,0.078,1.589,2
2026-06-22 16:51:00,0.074,1.632,2
2026-06-22 16:52:00,0.061,1.647,2
2026-06-22 16:53:00,0.058,1.695,2
2026-06-22 16:54:00,0.059,1.71,0
2026-06-22 16:55:00,0.053,1.735,0
2026-06-22 16:56:00,0.054,1.748,2
2026-06-22 16:57:00,0.062,1.787,0
2026-06-22 16:58:00,0.053,1.747,0
2026-06-22 16:59:00,0.06,1.768,2
