"date (UTC+0)","NO (ppb)","NO (ppb)y","Flag"
2026-06-01 09:00:00,1.278,2.884,0
2026-06-01 09:01:00,1.333,2.949,2
2026-06-01 09:02:00,1.41,3.107,2
2026-06-01 09:03:00,1.364,2.97,0
2026-06-01 09:04:00,1.307,2.816,0
2026-06-01 09:05:00,1.262,2.697,2
2026-06-01 09:06:00,1.211,2.579,2
2026-06-01 09:07:00,1.045,2.251,0
2026-06-01 09:08:00,0.793,1.723,2
2026-06-01 09:09:00,0.718,1.595,2
2026-06-01 09:10:00,0.582,1.362,0
2026-06-01 09:11:00,0.608,1.409,0
2026-06-01 09:12:00,0.679,1.524,2
2026-06-01 09:13:00,0.832,1.758,0
2026-06-01 09:14:00,0.92,1.963,0
2026-06-01 09:15:00,0.94,2.058,2
2026-06-01 09:16:00,0.934,2.117,2
2026-06-01 09:17:00,0.986,2.264,2
2026-06-01 09:18:00,0.985,2.346,2
2026-06-01 09:19:00,0.974,2.336,2
2026-06-01 09:20:00,0.912,2.36,0
2026-06-01 09:21:00,0.888,2.426,0
2026-06-01 09:22:00,0.765,2.285,2
2026-06-01 09:23:00,0.757,2.305,0
2026-06-01 09:24:00,0.843,2.484,0
2026-06-01 09:25:00,0.902,2.645,0
2026-06-01 09:26:00,0.966,2.762,2
2026-06-01 09:27:00,1.097,2.945,0
2026-06-01 09:28:00,1.161,3.011,2
2026-06-01 09:29:00,1.233,3.059,2
2026-06-01 09:30:00,1.335,3.162,0
2026-06-01 09:31:00,1.314,2.998,0
2026-06-01 09:32:00,1.302,2.993,0
2026-06-01 09:33:00,1.216,2.751,2
2026-06-01 09:34:00,1.126,2.467,0
2026-06-01 09:35:00,1.019,2.217,0
2026-06-01 09:36:00,0.941,2.1,2
2026-06-01 09:37:00,0.857,1.954,0
2026-06-01 09:38:00,0.685,1.695,0
2026-06-01 09:39:00,0.622,1.651,2
2026-06-01 09:40:00,0.598,1.709,0
2026-06-01 09:41:00,0.534,1.617,0
2026-06-01 09:42:00,0.54,1.721,0
2026-06-01 09:43:00,0.559,1.802,2
2026-06-01 09:44:00,0.604,1.92,2
2026-06-01 09:45:00,0.681,2.12,0
2026-06-01 09:46:00,0.798,2.425,2
2026-06-01 09:47:00,0.98,2.768,0
2026-06-01 09:48:00,1.091,2.977,0
2026-06-01 09:49:00,1.165,3.025,0
2026-06-01 09:50:00,1.292,3.226,2
2026-06-01 09:51:00,1.367,3.32,0
2026-06-01 09:52:00,1.369,3.319,0
2026-06-01 09:53:00,1.35,3.226,2
2026-06-01 09:54:00,1.262,2.961,2
2026-06-01 09:55:00,1.141,2.679,2
2026-06-01 09:56:00,0.987,2.309,2
2026-06-01 09:57:00,0.89,2.091,2
2026-06-01 09:58:00,0.77,1.81,0
2026-06-01 09:59:00,0.678,1.615,0
