"date (UTC+0)","NO (ppb)","NO (ppb)y","Flag"
2026-06-02 01:00:00,0.599,2.292,0
2026-06-02 01:01:00,0.553,2.135,2
2026-06-02 01:02:00,0.502,2.05,0
2026-06-02 01:03:00,0.451,1.968,0
2026-06-02 01:04:00,0.467,2.028,2
2026-06-02 01:05:00,0.467,2.086,0
2026-06-02 01:06:00,0.468,2.166,2
2026-06-02 01:07:00,0.451,2.279,2
2026-06-02 01:08:00,0.396,2.157,2
2026-06-02 01:09:00,0.389,2.137,0
2026-06-02 01:10:00,0.363,2.012,0
2026-06-02 01:11:00,0.347,1.959,2
2026-06-02 01:12:00,0.321,1.931,0
2026-06-02 01:13:00,0.318,1.936,0
2026-06-02 01:14:00,0.336,1.987,2
2026-06-02 01:15:00,0.355,2.041,2
2026-06-02 01:16:00,0.357,2.091,0
2026-06-02 01:17:00,0.384,2.191,2
2026-06-02 01:18:00,0.413,2.337,2
2026-06-02 01:19:00,0.461,2.476,0
2026-06-02 01:20:00,0.685,2.743,0
2026-06-02 01:21:00,0.782,2.936,2
2026-06-02 01:22:00,0.8,2.968,2
2026-06-02 01:23:00,0.897,3.106,0
2026-06-02 01:24:00,0.851,3.037,2
2026-06-02 01:25:00,0.789,2.948,2
2026-06-02 01:26:00,0.771,2.896,0
2026-06-02 01:27:00,0.737,2.866,0
2026-06-02 01:28:00,0.694,2.819,2
2026-06-02 01:29:00,0.448,2.624,0
2026-06-02 01:30:00,0.421,2.612,0
2026-06-02 01:31:00,0.327,2.573,0
2026-06-02 01:32:00,0.296,2.546,2
2026-06-02 01:33:00,0.298,2.576,2
2026-06-02 01:34:00,0.3,2.608,0
2026-06-02 01:35:00,0.292,2.619,2
2026-06-02 01:36:00,0.326,2.64,0
2026-06-02 01:37:00,0.332,2.604,0
2026-06-02 01:38:00,0.459,2.752,0
2026-06-02 01:39:00,0.468,2.652,0
2026-06-02 01:40:00,0.511,2.634,0
2026-06-02 01:41:00,0.56,2.61,0
2026-06-02 01:42:00,0.727,2.771,2
2026-06-02 01:43:00,0.943,3.103,0
2026-06-02 01:44:00,1.129,3.433,2
2026-06-02 01:45:00,1.165,3.544,2
2026-06-02 01:46:00,1.17,3.616,0
2026-06-02 01:47:00,1.121,3.499,0
2026-06-02 01:48:00,1.115,3.534,0
2026-06-02 01:49:00,1.067,3.478,2
2026-06-02 01:50:00,1.028,3.417,0
2026-06-02 01:51:00,0.754,2.995,0
2026-06-02 01:52:00,0.586,2.68,2
2026-06-02 01:53:00,0.573,2.616,2
2026-06-02 01:54:00,0.61,2.644,0
2026-06-02 01:55:00,0.596,2.626,2
2026-06-02 01:56:00,0.619,2.667,2
2026-06-02 01:57:00,0.609,2.735,0
2026-06-02 01:58:00,0.611,2.767,0
2026-06-02 01:59:00,0.625,2.885,2
