"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-06-23 03:00:00,0.125,4.987,2
2026-06-23 03:01:00,0.113,5.083,2
2026-06-23 03:02:00,0.105,5.222,0
2026-06-23 03:03:00,0.11,5.319,0
2026-06-23 03:04:00,0.106,5.397,2
2026-06-23 03:05:00,0.108,5.424,0
2026-06-23 03:06:00,0.107,5.542,0
2026-06-23 03:07:00,0.106,5.647,2
2026-06-23 03:08:00,0.109,5.759,2
2026-06-23 03:09:00,0.102,5.876,2
2026-06-23 03:10:00,0.115,5.981,2
2026-06-23 03:11:00,0.106,6.026,2
2026-06-23 03:12:00,0.099,6.155,0
2026-06-23 03:13:00,0.101,6.227,0
2026-06-23 03:14:00,0.09,6.309,2
2026-06-23 03:15:00,0.088,6.255,0
2026-06-23 03:16:00,0.086,6.266,0
2026-06-23 03:17:00,0.089,6.253,2
2026-06-23 03:18:00,0.086,6.201,2
2026-06-23 03:19:00,0.09,6.167,0
2026-06-23 03:20:00,0.095,6.116,2
2026-06-23 03:21:00,0.099,6.067,2
2026-06-23 03:22:00,0.109,5.992,0
2026-06-23 03:23:00,0.131,5.992,0
2026-06-23 03:24:00,0.135,5.962,0
2026-06-23 03:25:00,0.136,5.939,2
2026-06-23 03:26:00,0.139,5.936,0
2026-06-23 03:27:00,0.153,5.891,0
2026-06-23 03:28:00,0.158,5.88,2
2026-06-23 03:29:00,0.159,5.861,0
2026-06-23 03:30:00,0.155,5.859,0
2026-06-23 03:31:00,0.144,5.858,2
2026-06-23 03:32:00,0.139,5.838,0
2026-06-23 03:33:00,0.131,5.786,0
2026-06-23 03:34:00,0.127,5.752,0
2026-06-23 03:35:00,0.123,5.725,2
2026-06-23 03:36:00,0.102,5.687,2
2026-06-23 03:37:00,0.101,5.649,0
2026-06-23 03:38:00,0.099,5.604,2
2026-06-23 03:39:00,0.099,5.575,0
2026-06-23 03:40:00,0.089,5.535,0
2026-06-23 03:41:00,0.084,5.505,0
2026-06-23 03:42:00,0.072,5.445,0
2026-06-23 03:43:00,0.076,5.39,0
2026-06-23 03:44:00,0.079,5.322,0
2026-06-23 03:45:00,0.079,5.254,2
2026-06-23 03:46:00,0.089,5.132,0
2026-06-23 03:47:00,0.089,5.025,2
2026-06-23 03:48:00,0.103,4.908,2
2026-06-23 03:49:00,0.103,4.798,2
2026-06-23 03:50:00,0.109,4.7,0
2026-06-23 03:51:00,0.126,4.614,0
2026-06-23 03:52:00,0.127,4.588,2
2026-06-23 03:53:00,0.132,4.543,0
2026-06-23 03:54:00,0.135,4.533,0
2026-06-23 03:55:00,0.138,4.543,2
2026-06-23 03:56:00,0.136,4.51,2
2026-06-23 03:57:00,0.136,4.528,0
2026-06-23 03:58:00,0.156,4.543,2
2026-06-23 03:59:00,0.16,4.553,2
