"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-06-05 09:00:00,0.897,1.787,0
2026-06-05 09:01:00,0.89,1.793,0
2026-06-05 09:02:00,3.567,13.902,2
2026-06-05 09:03:00,0.687,0.802,0
2026-06-05 09:04:00,1.765,4.07,0
2026-06-05 09:05:00,1.406,2.677,2
2026-06-05 09:06:00,1.033,1.592,0
2026-06-05 09:07:00,1.517,2.58,0
2026-06-05 09:08:00,1.417,2.406,0
2026-06-05 09:09:00,1.309,2.215,2
2026-06-05 09:10:00,1.2,2.009,2
2026-06-05 09:11:00,1.073,1.754,0
2026-06-05 09:12:00,0.938,1.472,2
2026-06-05 09:13:00,0.797,1.203,0
2026-06-05 09:14:00,0.65,0.896,0
2026-06-05 09:15:00,0.506,0.58,0
2026-06-05 09:16:00,0.487,0.505,2
2026-06-05 09:17:00,0.455,0.396,1
2026-06-05 09:18:00,0.433,0.366,1
2026-06-05 09:19:00,0.433,0.354,2
2026-06-05 09:20:00,0.435,0.354,1
2026-06-05 09:21:00,0.471,0.443,2
2026-06-05 09:22:00,0.52,0.565,2
2026-06-05 09:23:00,0.62,0.777,2
2026-06-05 09:24:00,0.684,0.93,0
2026-06-05 09:25:00,0.723,0.999,0
2026-06-05 09:26:00,0.731,1.06,2
2026-06-05 09:27:00,0.729,1.076,0
2026-06-05 09:28:00,0.707,1.054,0
2026-06-05 09:29:00,0.668,0.984,2
2026-06-05 09:30:00,0.587,0.825,2
2026-06-05 09:31:00,0.532,0.686,0
2026-06-05 09:32:00,0.405,0.529,2
2026-06-05 09:33:00,0.368,0.445,2
2026-06-05 09:34:00,0.336,0.382,0
2026-06-05 09:35:00,0.313,0.3,1
2026-06-05 09:36:00,0.318,0.294,2
2026-06-05 09:37:00,0.334,0.321,2
2026-06-05 09:38:00,0.354,0.345,1
2026-06-05 09:39:00,0.372,0.374,2
2026-06-05 09:40:00,0.378,0.364,2
2026-06-05 09:41:00,0.382,0.388,0
2026-06-05 09:42:00,0.414,0.414,0
2026-06-05 09:43:00,0.416,0.446,2
2026-06-05 09:44:00,0.446,0.438,1
2026-06-05 09:45:00,0.454,0.452,1
2026-06-05 09:46:00,0.439,0.46,2
2026-06-05 09:47:00,0.452,0.547,2
2026-06-05 09:48:00,0.475,0.63,2
2026-06-05 09:49:00,0.49,0.754,0
2026-06-05 09:50:00,0.566,0.925,2
2026-06-05 09:51:00,0.574,0.998,0
2026-06-05 09:52:00,0.579,1.002,0
2026-06-05 09:53:00,0.567,0.997,0
2026-06-05 09:54:00,0.607,1.062,0
2026-06-05 09:55:00,0.638,1.08,0
2026-06-05 09:56:00,0.616,0.992,0
2026-06-05 09:57:00,0.592,0.909,2
2026-06-05 09:58:00,0.58,0.834,0
2026-06-05 09:59:00,0.476,0.621,2
