"date (UTC)","NO (ppb)","NO (ppb)y","Flag"
2026-06-17 03:00:00,1.376,3.865,0
2026-06-17 03:01:00,1.235,3.662,2
2026-06-17 03:02:00,0.907,3.104,2
2026-06-17 03:03:00,0.648,2.722,0
2026-06-17 03:04:00,0.501,2.482,0
2026-06-17 03:05:00,0.312,2.138,2
2026-06-17 03:06:00,0.324,2.095,0
2026-06-17 03:07:00,0.337,2.105,0
2026-06-17 03:08:00,0.337,2.092,2
2026-06-17 03:09:00,0.412,2.166,2
2026-06-17 03:10:00,0.481,2.282,2
2026-06-17 03:11:00,0.483,2.329,0
2026-06-17 03:12:00,0.481,2.282,2
2026-06-17 03:13:00,0.48,2.279,0
2026-06-17 03:14:00,0.471,2.369,0
2026-06-17 03:15:00,0.47,2.426,2
2026-06-17 03:16:00,0.466,2.466,0
2026-06-17 03:17:00,0.515,2.56,0
2026-06-17 03:18:00,0.523,2.556,0
2026-06-17 03:19:00,0.517,2.481,2
2026-06-17 03:20:00,0.522,2.418,0
2026-06-17 03:21:00,0.514,2.306,2
2026-06-17 03:22:00,0.487,2.181,2
2026-06-17 03:23:00,0.464,2.045,0
2026-06-17 03:24:00,0.478,1.91,0
2026-06-17 03:25:00,0.428,1.784,0
2026-06-17 03:26:00,0.369,1.638,2
2026-06-17 03:27:00,0.298,1.512,0
2026-06-17 03:28:00,0.254,1.478,0
2026-06-17 03:29:00,0.266,1.549,2
2026-06-17 03:30:00,0.272,1.6,0
2026-06-17 03:31:00,0.284,1.613,0
2026-06-17 03:32:00,0.265,1.609,2
2026-06-17 03:33:00,0.295,1.622,2
2026-06-17 03:34:00,0.355,1.614,0
2026-06-17 03:35:00,0.523,1.853,0
2026-06-17 03:36:00,0.603,2.024,2
2026-06-17 03:37:00,0.698,2.158,2
2026-06-17 03:38:00,0.744,2.186,0
2026-06-17 03:39:00,0.753,2.244,2
2026-06-17 03:40:00,0.772,2.26,2
2026-06-17 03:41:00,0.753,2.284,0
2026-06-17 03:42:00,0.739,2.287,0
2026-06-17 03:43:00,0.602,2.15,2
2026-06-17 03:44:00,0.45,1.87,0
2026-06-17 03:45:00,0.316,1.521,0
2026-06-17 03:46:00,0.2,1.316,2
2026-06-17 03:47:00,0.159,1.17,2
2026-06-17 03:48:00,0.154,1.043,2
2026-06-17 03:49:00,0.141,0.961,2
2026-06-17 03:50:00,0.127,0.91,2
2026-06-17 03:51:00,0.119,0.882,0
2026-06-17 03:52:00,0.154,0.883,0
2026-06-17 03:53:00,0.168,0.929,2
2026-06-17 03:54:00,0.2,0.966,0
2026-06-17 03:55:00,0.226,0.989,0
2026-06-17 03:56:00,0.22,0.984,0
2026-06-17 03:57:00,0.242,1.008,2
2026-06-17 03:58:00,0.276,1.041,0
2026-06-17 03:59:00,0.349,1.118,2
