"date (UTC+0)","NO (ppb)","NO (ppb)y","Flag"
2026-06-10 14:00:00,0.659,1.558,2
2026-06-10 14:01:00,0.677,1.466,0
2026-06-10 14:02:00,0.722,1.43,2
2026-06-10 14:03:00,0.877,1.637,0
2026-06-10 14:04:00,0.958,1.721,0
2026-06-10 14:05:00,1,1.749,0
2026-06-10 14:06:00,1.047,1.78,0
2026-06-10 14:07:00,1.1,1.819,0
2026-06-10 14:08:00,1.136,1.851,0
2026-06-10 14:09:00,1.087,1.781,2
2026-06-10 14:10:00,1.034,1.741,0
2026-06-10 14:11:00,0.912,1.617,2
2026-06-10 14:12:00,0.779,1.431,2
2026-06-10 14:13:00,0.709,1.364,0
2026-06-10 14:14:00,0.621,1.273,0
2026-06-10 14:15:00,0.525,1.192,0
2026-06-10 14:16:00,0.422,1.096,2
2026-06-10 14:17:00,0.365,1.013,0
2026-06-10 14:18:00,0.318,0.985,0
2026-06-10 14:19:00,0.307,0.968,2
2026-06-10 14:20:00,0.282,0.971,2
2026-06-10 14:21:00,0.238,0.945,0
2026-06-10 14:22:00,0.203,0.94,2
2026-06-10 14:23:00,0.187,0.913,2
2026-06-10 14:24:00,0.179,0.811,0
2026-06-10 14:25:00,0.174,0.783,0
2026-06-10 14:26:00,0.178,0.774,2
2026-06-10 14:27:00,0.166,0.733,2
2026-06-10 14:28:00,0.174,0.788,0
2026-06-10 14:29:00,0.208,0.832,2
2026-06-10 14:30:00,0.246,0.824,2
2026-06-10 14:31:00,0.263,0.869,0
2026-06-10 14:32:00,0.299,0.995,0
2026-06-10 14:33:00,0.374,1.138,2
2026-06-10 14:34:00,0.397,1.19,0
2026-06-10 14:35:00,0.443,1.273,0
2026-06-10 14:36:00,0.493,1.334,2
2026-06-10 14:37:00,0.544,1.378,2
2026-06-10 14:38:00,0.61,1.461,2
2026-06-10 14:39:00,0.692,1.525,0
2026-06-10 14:40:00,0.772,1.58,2
2026-06-10 14:41:00,0.832,1.64,0
2026-06-10 14:42:00,0.891,1.763,0
2026-06-10 14:43:00,0.983,1.999,2
2026-06-10 14:44:00,1.027,2.063,0
2026-06-10 14:45:00,1.097,2.231,0
2026-06-10 14:46:00,1.182,2.507,0
2026-06-10 14:47:00,1.182,2.617,2
2026-06-10 14:48:00,1.134,2.714,0
2026-06-10 14:49:00,1.06,2.735,2
2026-06-10 14:50:00,1.004,2.706,2
2026-06-10 14:51:00,0.919,2.559,0
2026-06-10 14:52:00,0.828,2.488,0
2026-06-10 14:53:00,0.742,2.466,0
2026-06-10 14:54:00,0.676,2.423,2
2026-06-10 14:55:00,0.539,2.284,0
2026-06-10 14:56:00,0.455,2.266,0
2026-06-10 14:57:00,0.41,2.329,2
2026-06-10 14:58:00,0.369,2.395,0
2026-06-10 14:59:00,0.342,2.48,0
