"date (UTC+0)","NO (ppb)","NO (ppb)y","Flag"
2026-06-01 20:00:00,0.359,1.714,0
2026-06-01 20:01:00,0.444,1.844,0
2026-06-01 20:02:00,0.605,2.176,2
2026-06-01 20:03:00,0.792,2.472,0
2026-06-01 20:04:00,0.842,2.611,0
2026-06-01 20:05:00,0.928,2.787,2
2026-06-01 20:06:00,0.949,2.788,0
2026-06-01 20:07:00,0.943,2.731,0
2026-06-01 20:08:00,0.937,2.694,2
2026-06-01 20:09:00,0.805,2.448,0
2026-06-01 20:10:00,0.669,2.177,0
2026-06-01 20:11:00,0.444,1.754,0
2026-06-01 20:12:00,0.239,1.365,2
2026-06-01 20:13:00,0.175,1.177,2
2026-06-01 20:14:00,0.148,1.023,0
2026-06-01 20:15:00,0.255,1.16,2
2026-06-01 20:16:00,0.362,1.354,2
2026-06-01 20:17:00,0.414,1.483,0
2026-06-01 20:18:00,0.469,1.546,0
2026-06-01 20:19:00,0.48,1.555,2
2026-06-01 20:20:00,0.491,1.571,0
2026-06-01 20:21:00,0.491,1.597,0
2026-06-01 20:22:00,0.479,1.589,2
2026-06-01 20:23:00,0.426,1.501,2
2026-06-01 20:24:00,0.28,1.342,2
2026-06-01 20:25:00,0.187,1.145,2
2026-06-01 20:26:00,0.164,1.093,2
2026-06-01 20:27:00,0.112,1.07,0
2026-06-01 20:28:00,0.105,1.095,0
2026-06-01 20:29:00,0.197,1.216,2
2026-06-01 20:30:00,0.27,1.342,0
2026-06-01 20:31:00,0.425,1.645,0
2026-06-01 20:32:00,0.541,1.91,2
2026-06-01 20:33:00,0.57,1.95,2
2026-06-01 20:34:00,0.579,1.979,0
2026-06-01 20:35:00,0.647,2.046,2
2026-06-01 20:36:00,0.727,2.158,2
2026-06-01 20:37:00,0.75,2.215,0
2026-06-01 20:38:00,0.706,2.151,0
2026-06-01 20:39:00,0.608,2.03,2
2026-06-01 20:40:00,0.445,1.798,2
2026-06-01 20:41:00,0.394,1.745,0
2026-06-01 20:42:00,0.37,1.777,0
2026-06-01 20:43:00,0.342,1.798,2
2026-06-01 20:44:00,0.295,1.718,0
2026-06-01 20:45:00,0.218,1.585,0
2026-06-01 20:46:00,0.168,1.462,2
2026-06-01 20:47:00,0.175,1.396,0
2026-06-01 20:48:00,0.186,1.433,0
2026-06-01 20:49:00,0.212,1.396,0
2026-06-01 20:50:00,0.282,1.464,2
2026-06-01 20:51:00,0.408,1.618,2
2026-06-01 20:52:00,0.411,1.623,0
2026-06-01 20:53:00,0.403,1.63,2
2026-06-01 20:54:00,0.408,1.651,0
2026-06-01 20:55:00,0.431,1.699,0
2026-06-01 20:56:00,0.475,1.806,0
2026-06-01 20:57:00,0.578,1.96,0
2026-06-01 20:58:00,0.655,2.055,0
2026-06-01 20:59:00,0.608,1.972,0
