"date (UTC)","SO2 (ppb)","Flag"
2026-09-09 05:00:00,1.095,0
2026-09-09 05:01:00,1.064,0
2026-09-09 05:02:00,1.019,0
2026-09-09 05:03:00,1.034,0
2026-09-09 05:04:00,1.034,0
2026-09-09 05:05:00,1.037,0
2026-09-09 05:06:00,1.042,0
2026-09-09 05:07:00,1.049,0
2026-09-09 05:08:00,1.08,0
2026-09-09 05:09:00,1.138,0
2026-09-09 05:10:00,1.185,0
2026-09-09 05:11:00,1.192,0
2026-09-09 05:12:00,1.155,0
2026-09-09 05:13:00,1.168,0
2026-09-09 05:14:00,1.157,0
2026-09-09 05:15:00,1.133,0
2026-09-09 05:16:00,1.145,1
2026-09-09 05:17:00,1.165,1
2026-09-09 05:18:00,1.167,0
2026-09-09 05:19:00,1.132,0
2026-09-09 05:20:00,1.137,0
2026-09-09 05:21:00,1.117,0
2026-09-09 05:22:00,1.111,0
2026-09-09 05:23:00,1.093,0
2026-09-09 05:24:00,1.065,0
2026-09-09 05:25:00,1.047,1
2026-09-09 05:26:00,1.031,0
2026-09-09 05:27:00,1.01,0
2026-09-09 05:28:00,1.01,0
2026-09-09 05:29:00,1.011,0
2026-09-09 05:30:00,1.068,0
2026-09-09 05:31:00,1.115,0
2026-09-09 05:32:00,1.137,0
2026-09-09 05:33:00,1.127,0
2026-09-09 05:34:00,1.106,0
2026-09-09 05:35:00,1.147,0
2026-09-09 05:36:00,1.149,0
2026-09-09 05:37:00,1.149,0
2026-09-09 05:38:00,1.162,1
2026-09-09 05:39:00,1.163,0
2026-09-09 05:40:00,1.224,0
2026-09-09 05:41:00,1.235,0
2026-09-09 05:42:00,1.224,0
2026-09-09 05:43:00,1.217,0
2026-09-09 05:44:00,1.223,0
2026-09-09 05:45:00,1.211,0
2026-09-09 05:46:00,1.177,0
2026-09-09 05:47:00,1.132,0
2026-09-09 05:48:00,1.081,0
2026-09-09 05:49:00,1.063,0
2026-09-09 05:50:00,1.049,0
2026-09-09 05:51:00,1.034,0
2026-09-09 05:52:00,1.019,0
2026-09-09 05:53:00,1,0
2026-09-09 05:54:00,0.966,0
2026-09-09 05:55:00,0.947,0
2026-09-09 05:56:00,0.845,0
2026-09-09 05:57:00,0.793,0
2026-09-09 05:58:00,0.803,0
2026-09-09 05:59:00,0.783,0
