"date (UTC)","SO2 (ppb)","Flag"
2026-09-14 18:00:00,0.86,0
2026-09-14 18:01:00,0.873,0
2026-09-14 18:02:00,0.904,0
2026-09-14 18:03:00,0.91,0
2026-09-14 18:04:00,0.9,0
2026-09-14 18:05:00,0.875,0
2026-09-14 18:06:00,0.87,0
2026-09-14 18:07:00,0.842,0
2026-09-14 18:08:00,0.804,0
2026-09-14 18:09:00,0.762,0
2026-09-14 18:10:00,0.799,1
2026-09-14 18:11:00,0.848,0
2026-09-14 18:12:00,0.874,0
2026-09-14 18:13:00,0.84,0
2026-09-14 18:14:00,0.827,0
2026-09-14 18:15:00,0.835,0
2026-09-14 18:16:00,0.771,0
2026-09-14 18:17:00,0.728,0
2026-09-14 18:18:00,0.674,0
2026-09-14 18:19:00,0.642,0
2026-09-14 18:20:00,0.639,0
2026-09-14 18:21:00,0.631,0
2026-09-14 18:22:00,0.664,0
2026-09-14 18:23:00,0.688,0
2026-09-14 18:24:00,0.664,0
2026-09-14 18:25:00,0.701,1
2026-09-14 18:26:00,0.677,0
2026-09-14 18:27:00,0.63,0
2026-09-14 18:28:00,0.608,0
2026-09-14 18:29:00,0.644,0
2026-09-14 18:30:00,0.682,0
2026-09-14 18:31:00,0.695,0
2026-09-14 18:32:00,0.731,0
2026-09-14 18:33:00,0.785,0
2026-09-14 18:34:00,0.858,0
2026-09-14 18:35:00,0.903,0
2026-09-14 18:36:00,0.921,0
2026-09-14 18:37:00,0.939,0
2026-09-14 18:38:00,0.945,0
2026-09-14 18:39:00,1,0
2026-09-14 18:40:00,1.091,0
2026-09-14 18:41:00,1.112,0
2026-09-14 18:42:00,1.161,0
2026-09-14 18:43:00,1.249,0
2026-09-14 18:44:00,1.284,0
2026-09-14 18:45:00,1.279,0
2026-09-14 18:46:00,1.26,0
2026-09-14 18:47:00,1.265,1
2026-09-14 18:48:00,1.283,0
2026-09-14 18:49:00,1.257,0
2026-09-14 18:50:00,1.229,0
2026-09-14 18:51:00,1.217,1
2026-09-14 18:52:00,1.213,0
2026-09-14 18:53:00,1.172,0
2026-09-14 18:54:00,1.149,0
2026-09-14 18:55:00,1.112,0
2026-09-14 18:56:00,1.063,0
2026-09-14 18:57:00,1.013,0
2026-09-14 18:58:00,0.965,1
2026-09-14 18:59:00,0.891,0
