"date (UTC)","SO2 (ppb)","Flag"
2026-09-01 05:00:00,0.469,0
2026-09-01 05:01:00,0.47,0
2026-09-01 05:02:00,0.489,0
2026-09-01 05:03:00,0.559,0
2026-09-01 05:04:00,0.615,0
2026-09-01 05:05:00,0.671,0
2026-09-01 05:06:00,0.689,0
2026-09-01 05:07:00,0.674,0
2026-09-01 05:08:00,0.65,0
2026-09-01 05:09:00,0.674,0
2026-09-01 05:10:00,0.687,0
2026-09-01 05:11:00,0.738,0
2026-09-01 05:12:00,0.775,0
2026-09-01 05:13:00,0.804,0
2026-09-01 05:14:00,0.786,1
2026-09-01 05:15:00,0.774,0
2026-09-01 05:16:00,0.767,0
2026-09-01 05:17:00,0.77,0
2026-09-01 05:18:00,0.796,0
2026-09-01 05:19:00,0.755,0
2026-09-01 05:20:00,0.712,0
2026-09-01 05:21:00,0.706,0
2026-09-01 05:22:00,0.712,0
2026-09-01 05:23:00,0.735,0
2026-09-01 05:24:00,0.74,0
2026-09-01 05:25:00,0.692,0
2026-09-01 05:26:00,0.676,1
2026-09-01 05:27:00,0.608,0
2026-09-01 05:28:00,0.546,0
2026-09-01 05:29:00,0.509,0
2026-09-01 05:30:00,0.529,0
2026-09-01 05:31:00,0.512,0
2026-09-01 05:32:00,0.512,0
2026-09-01 05:33:00,0.535,0
2026-09-01 05:34:00,0.532,0
2026-09-01 05:35:00,0.547,0
2026-09-01 05:36:00,0.563,0
2026-09-01 05:37:00,0.566,0
2026-09-01 05:38:00,0.568,1
2026-09-01 05:39:00,0.589,1
2026-09-01 05:40:00,0.587,0
2026-09-01 05:41:00,0.627,0
2026-09-01 05:42:00,0.631,0
2026-09-01 05:43:00,0.653,0
2026-09-01 05:44:00,0.731,0
2026-09-01 05:45:00,0.733,0
2026-09-01 05:46:00,0.714,1
2026-09-01 05:47:00,0.701,0
2026-09-01 05:48:00,0.744,0
2026-09-01 05:49:00,0.733,0
2026-09-01 05:50:00,0.737,0
2026-09-01 05:51:00,0.75,0
2026-09-01 05:52:00,0.765,0
2026-09-01 05:53:00,0.814,0
2026-09-01 05:54:00,0.835,0
2026-09-01 05:55:00,0.821,0
2026-09-01 05:56:00,0.805,0
2026-09-01 05:57:00,0.786,0
2026-09-01 05:58:00,0.801,0
2026-09-01 05:59:00,0.827,0
