"date (UTC)","SO2 (ppb)","Flag"
2026-09-11 11:00:00,0.636,0
2026-09-11 11:01:00,0.648,0
2026-09-11 11:02:00,0.647,0
2026-09-11 11:03:00,0.608,0
2026-09-11 11:04:00,0.603,0
2026-09-11 11:05:00,0.585,0
2026-09-11 11:06:00,0.531,0
2026-09-11 11:07:00,0.51,1
2026-09-11 11:08:00,0.505,0
2026-09-11 11:09:00,0.507,0
2026-09-11 11:10:00,0.582,1
2026-09-11 11:11:00,0.607,0
2026-09-11 11:12:00,0.594,0
2026-09-11 11:13:00,0.604,0
2026-09-11 11:14:00,0.656,0
2026-09-11 11:15:00,0.628,0
2026-09-11 11:16:00,0.616,0
2026-09-11 11:17:00,0.621,1
2026-09-11 11:18:00,0.623,0
2026-09-11 11:19:00,0.613,0
2026-09-11 11:20:00,0.629,0
2026-09-11 11:21:00,0.656,0
2026-09-11 11:22:00,0.687,0
2026-09-11 11:23:00,0.742,0
2026-09-11 11:24:00,0.771,0
2026-09-11 11:25:00,0.797,0
2026-09-11 11:26:00,0.755,0
2026-09-11 11:27:00,0.743,0
2026-09-11 11:28:00,0.747,0
2026-09-11 11:29:00,0.757,0
2026-09-11 11:30:00,0.733,0
2026-09-11 11:31:00,0.703,0
2026-09-11 11:32:00,0.688,0
2026-09-11 11:33:00,0.673,0
2026-09-11 11:34:00,0.645,0
2026-09-11 11:35:00,0.658,0
2026-09-11 11:36:00,0.682,0
2026-09-11 11:37:00,0.649,0
2026-09-11 11:38:00,0.677,0
2026-09-11 11:39:00,0.7,0
2026-09-11 11:40:00,0.723,0
2026-09-11 11:41:00,0.711,0
2026-09-11 11:42:00,0.724,0
2026-09-11 11:43:00,0.715,0
2026-09-11 11:44:00,0.681,0
2026-09-11 11:45:00,0.67,0
2026-09-11 11:46:00,0.701,0
2026-09-11 11:47:00,0.748,1
2026-09-11 11:48:00,0.77,0
2026-09-11 11:49:00,0.798,0
2026-09-11 11:50:00,0.818,0
2026-09-11 11:51:00,0.855,1
2026-09-11 11:52:00,0.842,0
2026-09-11 11:53:00,0.878,0
2026-09-11 11:54:00,0.859,0
2026-09-11 11:55:00,0.855,0
2026-09-11 11:56:00,0.834,0
2026-09-11 11:57:00,0.809,0
2026-09-11 11:58:00,0.787,0
2026-09-11 11:59:00,0.788,0
