"date (UTC)","SO2 (ppb)","Flag"
2026-09-18 11:00:00,1.466,0
2026-09-18 11:01:00,1.466,1
2026-09-18 11:02:00,1.484,0
2026-09-18 11:03:00,1.451,0
2026-09-18 11:04:00,1.402,1
2026-09-18 11:05:00,1.34,0
2026-09-18 11:06:00,1.31,0
2026-09-18 11:07:00,1.251,0
2026-09-18 11:08:00,1.161,0
2026-09-18 11:09:00,1.101,0
2026-09-18 11:10:00,1.058,0
2026-09-18 11:11:00,1.027,0
2026-09-18 11:12:00,0.979,0
2026-09-18 11:13:00,0.964,0
2026-09-18 11:14:00,0.98,0
2026-09-18 11:15:00,1.018,0
2026-09-18 11:16:00,1.045,0
2026-09-18 11:17:00,1.079,0
2026-09-18 11:18:00,1.098,0
2026-09-18 11:19:00,1.109,0
2026-09-18 11:20:00,1.145,0
2026-09-18 11:21:00,1.159,0
2026-09-18 11:22:00,1.159,1
2026-09-18 11:23:00,1.178,0
2026-09-18 11:24:00,1.259,0
2026-09-18 11:25:00,1.317,1
2026-09-18 11:26:00,1.369,0
2026-09-18 11:27:00,1.373,1
2026-09-18 11:28:00,1.37,0
2026-09-18 11:29:00,1.37,1
2026-09-18 11:30:00,1.401,1
2026-09-18 11:31:00,1.466,1
2026-09-18 11:32:00,1.489,1
2026-09-18 11:33:00,1.443,1
2026-09-18 11:34:00,1.41,1
2026-09-18 11:35:00,1.402,1
2026-09-18 11:36:00,1.404,1
2026-09-18 11:37:00,1.421,1
2026-09-18 11:38:00,1.459,1
2026-09-18 11:39:00,1.485,1
2026-09-18 11:40:00,1.458,1
2026-09-18 11:41:00,1.452,1
2026-09-18 11:42:00,1.46,1
2026-09-18 11:43:00,1.496,1
2026-09-18 11:44:00,1.539,1
2026-09-18 11:45:00,1.621,1
2026-09-18 11:46:00,1.626,1
2026-09-18 11:47:00,1.584,1
2026-09-18 11:48:00,1.604,1
2026-09-18 11:49:00,1.62,1
2026-09-18 11:50:00,1.647,1
2026-09-18 11:51:00,1.674,1
2026-09-18 11:52:00,1.667,1
2026-09-18 11:53:00,1.651,1
2026-09-18 11:54:00,1.627,1
2026-09-18 11:55:00,1.616,1
2026-09-18 11:56:00,1.645,0
2026-09-18 11:57:00,1.629,0
2026-09-18 11:58:00,1.604,0
2026-09-18 11:59:00,1.575,0
