"date (UTC)","NO2 (ppb)","Flag"
2026-08-21 13:00:00,3.622,0
2026-08-21 13:01:00,3.848,0
2026-08-21 13:02:00,3.729,0
2026-08-21 13:03:00,3.526,0
2026-08-21 13:04:00,2.641,0
2026-08-21 13:05:00,2.691,0
2026-08-21 13:06:00,2.615,0
2026-08-21 13:07:00,2.258,0
2026-08-21 13:08:00,2.25,0
2026-08-21 13:09:00,1.998,0
2026-08-21 13:10:00,1.81,0
2026-08-21 13:11:00,1.889,0
2026-08-21 13:12:00,2.209,0
2026-08-21 13:13:00,1.972,0
2026-08-21 13:14:00,2.015,0
2026-08-21 13:15:00,2.396,0
2026-08-21 13:16:00,3.307,0
2026-08-21 13:17:00,3.594,0
2026-08-21 13:18:00,3.634,0
2026-08-21 13:19:00,4.206,2
2026-08-21 13:20:00,4.034,0
2026-08-21 13:21:00,4.532,0
2026-08-21 13:22:00,3.798,0
2026-08-21 13:23:00,3.237,0
2026-08-21 13:24:00,3.482,2
2026-08-21 13:25:00,2.854,0
2026-08-21 13:26:00,1.833,0
2026-08-21 13:27:00,2.514,0
2026-08-21 13:28:00,8.192,0
2026-08-21 13:29:00,8.015,0
2026-08-21 13:30:00,5.742,0
2026-08-21 13:31:00,6.001,2
2026-08-21 13:32:00,4.994,0
2026-08-21 13:33:00,3.578,0
2026-08-21 13:34:00,2.872,0
2026-08-21 13:35:00,1.582,0
2026-08-21 13:36:00,1.587,0
2026-08-21 13:37:00,1.761,0
2026-08-21 13:38:00,1.899,2
2026-08-21 13:39:00,1.964,0
2026-08-21 13:40:00,2.4,0
2026-08-21 13:41:00,2.487,0
2026-08-21 13:42:00,2.664,0
2026-08-21 13:43:00,2.819,2
2026-08-21 13:44:00,2.852,0
2026-08-21 13:45:00,2.981,0
2026-08-21 13:46:00,2.866,0
2026-08-21 13:47:00,2.728,0
2026-08-21 13:48:00,2.734,0
2026-08-21 13:49:00,2.734,0
2026-08-21 13:50:00,3.145,0
2026-08-21 13:51:00,2.867,0
2026-08-21 13:52:00,2.903,0
2026-08-21 13:53:00,2.994,0
2026-08-21 13:54:00,3.482,0
2026-08-21 13:55:00,3.043,0
2026-08-21 13:56:00,3.326,0
2026-08-21 13:57:00,3.769,2
2026-08-21 13:58:00,4.976,0
2026-08-21 13:59:00,6.468,0
