"date (UTC)","NO2 (ppb)","Flag"
2026-08-13 07:00:00,11.759,0
2026-08-13 07:01:00,11.955,0
2026-08-13 07:02:00,12.162,0
2026-08-13 07:03:00,12.094,0
2026-08-13 07:04:00,12.136,0
2026-08-13 07:05:00,11.918,0
2026-08-13 07:06:00,11.891,0
2026-08-13 07:07:00,11.95,0
2026-08-13 07:08:00,11.815,0
2026-08-13 07:09:00,11.662,0
2026-08-13 07:10:00,11.777,0
2026-08-13 07:11:00,11.906,0
2026-08-13 07:12:00,11.87,0
2026-08-13 07:13:00,12.056,0
2026-08-13 07:14:00,11.92,0
2026-08-13 07:15:00,11.878,0
2026-08-13 07:16:00,11.918,0
2026-08-13 07:17:00,11.842,0
2026-08-13 07:18:00,11.983,0
2026-08-13 07:19:00,12.249,0
2026-08-13 07:20:00,12.071,0
2026-08-13 07:21:00,12.221,0
2026-08-13 07:22:00,12.465,0
2026-08-13 07:23:00,12.047,0
2026-08-13 07:24:00,12.057,0
2026-08-13 07:25:00,12.493,0
2026-08-13 07:26:00,12.323,0
2026-08-13 07:27:00,12.633,0
2026-08-13 07:28:00,13.069,0
2026-08-13 07:29:00,12.129,0
2026-08-13 07:30:00,10.961,0
2026-08-13 07:31:00,10.955,0
2026-08-13 07:32:00,10.945,0
2026-08-13 07:33:00,10.408,0
2026-08-13 07:34:00,10.076,0
2026-08-13 07:35:00,10.117,0
2026-08-13 07:36:00,10.064,0
2026-08-13 07:37:00,10.05,0
2026-08-13 07:38:00,9.853,0
2026-08-13 07:39:00,9.748,0
2026-08-13 07:40:00,9.64,0
2026-08-13 07:41:00,9.387,0
2026-08-13 07:42:00,9.534,0
2026-08-13 07:43:00,9.573,0
2026-08-13 07:44:00,9.573,0
2026-08-13 07:45:00,9.274,0
2026-08-13 07:46:00,8.936,0
2026-08-13 07:47:00,9.455,0
2026-08-13 07:48:00,9.009,0
2026-08-13 07:49:00,8.645,0
2026-08-13 07:50:00,8.806,0
2026-08-13 07:51:00,8.997,0
2026-08-13 07:52:00,8.89,0
2026-08-13 07:53:00,9.117,0
2026-08-13 07:54:00,8.909,0
2026-08-13 07:55:00,9.25,0
2026-08-13 07:56:00,9.127,0
2026-08-13 07:57:00,9.189,0
2026-08-13 07:58:00,10.044,0
2026-08-13 07:59:00,9.63,0
